"sense"	"label"	"%"
"26427"	"589"	"100"
"26428"	"27"	"90"
"26429"	"302"	"60"
"26430"	"270"	"100"
"26431"	"781"	"100"
"26432"	"518"	"100"
"26433"	"413"	"100"
"26434"	"792"	"100"
"26435"	"30"	"90"
"26436"	"178"	"90"
"26437"	"663"	"60"
"26438"	"742"	"100"
"26442"	"113"	"100"
"26443"	"37"	"90"
"26444"	"809"	"100"
"26445"	"55"	"90"
"26446"	"55"	"100"
"26447"	"55"	"100"
"26448"	"61"	"100"
"26449"	"618"	"100"
"26450"	"55"	"100"
"26451"	"425"	"90"
"26452"	"55"	"60"
"26453"	"78"	"100"
"26454"	"113"	"100"
"26455"	"152"	"100"
"26456"	"355"	"100"
"26458"	"113"	"100"
"26459"	"399"	"100"
"26460"	"450"	"100"
"26461"	"710"	"100"
"26462"	"711"	"90"
"26463"	"698"	"100"
"26464"	"113"	"100"
"26465"	"119"	"100"
"26466"	"801"	"90"
"26467"	"801"	"90"
"26468"	"526"	"100"
"26469"	"825"	"100"
"26470"	"802"	"90"
"26471"	"649"	"100"
"26473"	"684"	"100"
"26474"	"193"	"100"
"26475"	"113"	"100"
"26476"	"55"	"90"
"26477"	"182"	"100"
"26478"	"693"	"80"
"26479"	"152"	"100"
"26480"	"753"	"100"
"26481"	"125"	"90"
"26482"	"403"	"100"
"26483"	"698"	"100"
"26484"	"916"	"80"
"26485"	"152"	"100"
"26486"	"634"	"100"
"26487"	"152"	"100"
"26488"	"78"	"100"
"26489"	"151"	"100"
"26490"	"468"	"100"
"26491"	"653"	"100"
"26492"	"779"	"100"
"26494"	"545"	"100"
"26495"	"595"	"90"
"26496"	"595"	"90"
"26497"	"595"	"90"
"26498"	"136"	"100"
"26499"	"835"	"100"
"26502"	"75"	"90"
"26503"	"55"	"100"
"26504"	"182"	"60"
"26505"	"705"	"100"
"26506"	"206"	"100"
"26507"	"151"	"70"
"26508"	"566"	"100"
"26509"	"765"	"90"
"26510"	"206"	"100"
"26511"	"601"	"100"
"26512"	"152"	"90"
"26513"	"37"	"60"
"26515"	"78"	"100"
"26516"	"55"	"90"
"26517"	"730"	"100"
"26518"	"597"	"100"
"26519"	"785"	"100"
"26520"	"560"	"100"
"26521"	"37"	"90"
"26522"	"109"	"100"
"26523"	"152"	"90"
"26524"	"703"	"100"
"26525"	"597"	"100"
"26526"	"625"	"100"
"26527"	"383"	"100"
"26528"	"705"	"90"
"26529"	"562"	"100"
"26530"	"705"	"90"
"26531"	"671"	"90"
"26532"	"825"	"100"
"26533"	"698"	"100"
"26534"	"562"	"100"
"26535"	"698"	"100"
"26536"	"601"	"100"
"26537"	"413"	"100"
"26538"	"55"	"90"
"26539"	"119"	"80"
"26540"	"113"	"100"
"26541"	"465"	"100"
"26542"	"484"	"60"
"26543"	"113"	"100"
"26544"	"554"	"90"
"26545"	"413"	"100"
"26546"	"711"	"100"
"26547"	"350"	"100"
"26548"	"193"	"90"
"26549"	"551"	"90"
"26550"	"858"	"100"
"26551"	"207"	"90"
"26552"	"825"	"100"
"26553"	"614"	"100"
"26554"	"711"	"90"
"26555"	"113"	"100"
"26556"	"61"	"90"
"26558"	"401"	"60"
"26559"	"134"	"100"
"26560"	"12"	"100"
"26561"	"820"	"90"
"26562"	"37"	"90"
"26563"	"698"	"100"
"26564"	"703"	"100"
"26565"	"152"	"100"
"26566"	"554"	"90"
"26567"	"468"	"100"
"26568"	"61"	"100"
"26569"	"75"	"100"
"26570"	"677"	"60"
"26571"	"55"	"100"
"26572"	"552"	"100"
"26573"	"55"	"100"
"26574"	"236"	"100"
"26575"	"61"	"90"
"26576"	"644"	"100"
"26577"	"152"	"100"
"26578"	"61"	"90"
"26579"	"459"	"100"
"26580"	"552"	"100"
"26581"	"152"	"100"
"26582"	"152"	"100"
"26583"	"152"	"100"
"26584"	"395"	"100"
"26585"	"152"	"100"
"26586"	"252"	"90"
"26587"	"683"	"90"
"26588"	"504"	"90"
"26589"	"473"	"100"
"26590"	"779"	"100"
"26591"	"603"	"60"
"26593"	"369"	"80"
"26594"	"710"	"100"
"26595"	"113"	"60"
"26596"	"37"	"70"
"26597"	"446"	"100"
"26598"	"566"	"100"
"26599"	"201"	"100"
"26600"	"113"	"70"
"26601"	"113"	"100"
"26602"	"660"	"70"
"26603"	"113"	"80"
"26604"	"820"	"100"
"26605"	"713"	"80"
"26606"	"113"	"80"
"26607"	"113"	"60"
"26608"	"282"	"60"
"26609"	"785"	"80"
"26610"	"37"	"60"
"26611"	"283"	"60"
"26612"	"719"	"70"
"26613"	"719"	"60"
"26614"	"403"	"90"
"26615"	"759"	"90"
"26616"	"89"	"90"
"26617"	"779"	"100"
"26618"	"779"	"100"
"26619"	"451"	"100"
"26620"	"446"	"60"
"26621"	"768"	"80"
"26622"	"209"	"90"
"26623"	"473"	"90"
"26624"	"78"	"100"
"26625"	"460"	"90"
"26626"	"416"	"100"
"26627"	"281"	"60"
"26628"	"566"	"90"
"26629"	"109"	"90"
"26630"	"446"	"90"
"26631"	"464"	"70"
"26632"	"590"	"60"
"26633"	"151"	"100"
"26634"	"409"	"60"
"26635"	"284"	"100"
"26636"	"641"	"80"
"26637"	"734"	"60"
"26638"	"37"	"60"
"26639"	"562"	"60"
"26640"	"161"	"60"
"26641"	"779"	"100"
"26642"	"151"	"100"
"26643"	"151"	"60"
"26644"	"303"	"90"
"26645"	"560"	"100"
"26646"	"653"	"90"
"26647"	"849"	"100"
"26648"	"652"	"70"
"26649"	"55"	"80"
"26650"	"10"	"60"
"26651"	"459"	"90"
"26652"	"113"	"70"
"26653"	"458"	"100"
"26655"	"509"	"60"
"26656"	"805"	"90"
"26657"	"63"	"80"
"26658"	"851"	"60"
"26659"	"464"	"90"
"26660"	"634"	"100"
"26661"	"290"	"80"
"26662"	"113"	"100"
"26663"	"562"	"90"
"26664"	"761"	"100"
"26665"	"270"	"80"
"26666"	"736"	"90"
"26667"	"152"	"100"
"26668"	"303"	"60"
"26669"	"748"	"60"
"26670"	"806"	"100"
"26674"	"37"	"60"
"26675"	"562"	"90"
"26677"	"633"	"60"
"26678"	"889"	"80"
"26679"	"417"	"80"
"26680"	"281"	"60"
"26682"	"601"	"100"
"26683"	"601"	"80"
"26684"	"281"	"60"
"26685"	"676"	"100"
"26686"	"805"	"90"
"26687"	"595"	"100"
"26688"	"351"	"70"
"26689"	"785"	"100"
"26690"	"735"	"60"
"26691"	"355"	"100"
"26692"	"304"	"90"
"26694"	"595"	"60"
"26695"	"698"	"100"
"26696"	"734"	"90"
"26697"	"383"	"80"
"26698"	"625"	"100"
"26699"	"113"	"100"
"26700"	"698"	"60"
"26701"	"642"	"100"
"26702"	"158"	"80"
"26703"	"806"	"100"
"26704"	"729"	"100"
"26705"	"136"	"100"
"26706"	"683"	"90"
"26707"	"718"	"60"
"26708"	"580"	"60"
"26709"	"492"	"90"
"26710"	"646"	"100"
"26711"	"281"	"60"
"26712"	"562"	"100"
"26713"	"834"	"60"
"26714"	"595"	"60"
"26715"	"75"	"70"
"26716"	"55"	"60"
"26717"	"181"	"60"
"26718"	"151"	"60"
"26719"	"55"	"90"
"26720"	"78"	"100"
"26721"	"206"	"100"
"26722"	"369"	"60"
"26723"	"55"	"100"
"26724"	"156"	"60"
"26725"	"551"	"60"
"26726"	"822"	"60"
"26727"	"562"	"100"
"26728"	"562"	"80"
"26729"	"562"	"90"
"26730"	"718"	"60"
"26731"	"698"	"100"
"26732"	"682"	"90"
"26733"	"113"	"60"
"26734"	"562"	"80"
"26735"	"566"	"100"
"26736"	"489"	"100"
"26737"	"152"	"90"
"26738"	"37"	"60"
"26739"	"413"	"80"
"26740"	"303"	"60"
"26741"	"78"	"100"
"26742"	"698"	"100"
"26743"	"698"	"100"
"26744"	"78"	"100"
"26745"	"595"	"60"
"26746"	"78"	"100"
"26747"	"556"	"100"
"26748"	"629"	"90"
"26749"	"450"	"60"
"26750"	"413"	"100"
"26751"	"734"	"100"
"26752"	"74"	"100"
"26753"	"37"	"60"
"26754"	"718"	"80"
"26755"	"281"	"90"
"26756"	"458"	"100"
"26757"	"78"	"100"
"26758"	"152"	"60"
"26759"	"67"	"60"
"26760"	"178"	"60"
"26761"	"703"	"60"
"26762"	"738"	"100"
"26764"	"113"	"100"
"26765"	"459"	"70"
"26766"	"281"	"100"
"26767"	"171"	"100"
"26768"	"171"	"100"
"26769"	"698"	"100"
"26770"	"468"	"90"
"26771"	"254"	"100"
"26773"	"601"	"100"
"26775"	"601"	"100"
"26776"	"303"	"60"
"26777"	"281"	"60"
"26778"	"303"	"60"
"26779"	"425"	"80"
"26780"	"27"	"60"
"26781"	"844"	"100"
"26782"	"355"	"100"
"26783"	"848"	"60"
"26784"	"152"	"100"
"26785"	"718"	"60"
"26786"	"208"	"90"
"26787"	"180"	"90"
"26788"	"270"	"80"
"26789"	"319"	"90"
"26790"	"863"	"90"
"26791"	"113"	"100"
"26792"	"355"	"100"
"26793"	"416"	"100"
"26794"	"848"	"100"
"26795"	"151"	"90"
"26796"	"714"	"100"
"26797"	"432"	"100"
"26798"	"119"	"100"
"26799"	"121"	"100"
"26800"	"383"	"60"
"26801"	"281"	"60"
"26802"	"78"	"100"
"26803"	"270"	"60"
"26804"	"698"	"100"
"26805"	"785"	"60"
"26806"	"55"	"80"
"26807"	"55"	"60"
"26808"	"413"	"100"
"26809"	"113"	"60"
"26810"	"825"	"100"
"26811"	"37"	"60"
"26812"	"748"	"60"
"26813"	"537"	"100"
"26814"	"625"	"100"
"26815"	"786"	"90"
"26816"	"37"	"60"
"26817"	"651"	"100"
"26818"	"303"	"60"
"26819"	"863"	"60"
"26820"	"710"	"70"
"26821"	"383"	"60"
"26822"	"587"	"90"
"26823"	"134"	"100"
"26824"	"699"	"100"
"26825"	"734"	"70"
"26826"	"859"	"100"
"26827"	"113"	"90"
"26828"	"190"	"90"
"26829"	"595"	"60"
"26830"	"152"	"90"
"26831"	"37"	"60"
"26833"	"868"	"100"
"26834"	"330"	"80"
"26835"	"37"	"60"
"26836"	"63"	"60"
"26837"	"37"	"90"
"26838"	"152"	"60"
"26839"	"450"	"60"
"26841"	"718"	"60"
"26842"	"402"	"90"
"26843"	"37"	"60"
"26844"	"580"	"60"
"26845"	"142"	"80"
"26846"	"185"	"100"
"26847"	"152"	"60"
"26848"	"625"	"90"
"26849"	"152"	"60"
"26850"	"177"	"90"
"26851"	"152"	"60"
"26852"	"37"	"70"
"26853"	"180"	"80"
"26854"	"37"	"60"
"26855"	"35"	"60"
"26856"	"491"	"90"
"26857"	"37"	"60"
"26858"	"132"	"60"
"26859"	"37"	"60"
"26860"	"37"	"60"
"26861"	"281"	"60"
"26862"	"748"	"60"
