"source"	"target"	"type"	"subtype"
"40563"	"43889"	"1"	"4"
"36224"	"36233"	"1"	"4"
"31743"	"38356"	"1"	"4"
"31745"	"45115"	"1"	"4"
"26240"	"34593"	"5"	""
"26240"	"29964"	"2"	""
"26243"	"31335"	"5"	""
"26243"	"31346"	"1"	"2"
"26243"	"31348"	"1"	"2"
"26243"	"31360"	"1"	"2"
"34823"	"38625"	"5"	""
"34823"	"45269"	"5"	""
"28276"	"53002"	"2"	""
"49015"	"27360"	"5"	""
"44226"	"29885"	"5"	""
"44226"	"47486"	"1"	"4"
"44226"	"38724"	"1"	"4"
"29867"	"47658"	"2"	""
"29867"	"47659"	"2"	""
"47658"	"47655"	"1"	"4"
"49017"	"49018"	"1"	"4"
"49018"	"49019"	"5"	""
"49024"	"49020"	"5"	""
"28158"	"48995"	"1"	"4"
"28009"	"48997"	"1"	"4"
"38065"	"38066"	"1"	"4"
"35284"	"49024"	"1"	"4"
"27337"	"35035"	"1"	"4"
"27337"	"49025"	"2"	""
"49026"	"49027"	"1"	"4"
"50895"	"49029"	"2"	""
"47607"	"49032"	"1"	"2"
"49035"	"49036"	"2"	""
"49032"	"47608"	"1"	"6"
"26256"	"49033"	"5"	""
"26260"	"49037"	"5"	""
"31938"	"31530"	"2"	""
"49038"	"37319"	"1"	"4"
"26267"	"45682"	"2"	""
"26591"	"39281"	"1"	"4"
"30455"	"30466"	"1"	"4"
"30452"	"30455"	"2"	""
"26881"	"45920"	"2"	""
"39281"	"30162"	"2"	""
"43971"	"49041"	"1"	"4"
"27338"	"49044"	"1"	"4"
"30468"	"30470"	"1"	"4"
"47298"	"47226"	"3"	""
"47226"	"47298"	"6"	""
"48693"	"35181"	"1"	"4"
"46996"	"46999"	"2"	""
"29525"	"40619"	"1"	"4"
"40619"	"40738"	"5"	""
"29525"	"46226"	"1"	"4"
"29525"	"42255"	"1"	"4"
"43547"	"49052"	"1"	"4"
"26442"	"43117"	"5"	""
"26442"	"29956"	"1"	"2"
"31627"	"31628"	"5"	""
"40910"	"40911"	"5"	""
"49054"	"39391"	"2"	""
"37462"	"41315"	"1"	""
"41315"	"40590"	"5"	""
"45464"	"45465"	"5"	""
"27953"	"49058"	"1"	"4"
"39636"	"49060"	"5"	""
"28219"	"49061"	"2"	""
"27326"	"34937"	"5"	""
"42012"	"42688"	"5"	""
"42688"	"42689"	"5"	""
"28511"	"49067"	"1"	"4"
"26277"	"30275"	"2"	""
"29022"	"35221"	"1"	"2"
"49071"	"49072"	"5"	""
"39543"	"39542"	"1"	"4"
"45937"	"45938"	"2"	""
"44334"	"46560"	"5"	""
"29232"	"38957"	"5"	""
"29232"	"38959"	"1"	"4"
"41998"	"49079"	"1"	"2"
"27106"	"49080"	"1"	"4"
"47811"	"40357"	"1"	"4"
"28870"	"32975"	"2"	""
"49081"	"49082"	"1"	""
"29564"	"38601"	"5"	""
"32460"	"26282"	"5"	""
"29737"	"49083"	"5"	""
"36731"	"39843"	"2"	""
"28777"	"45097"	"1"	""
"28777"	"32883"	"2"	""
"45097"	"40804"	"5"	""
"28893"	"43122"	"2"	""
"44183"	"49086"	"1"	""
"40228"	"40229"	"2"	""
"53472"	"53474"	"1"	"4"
"53475"	"53476"	"2"	""
"53472"	"53473"	"2"	""
"30213"	"45536"	"5"	""
"30213"	"26731"	"2"	""
"26695"	"40234"	"2"	""
"40234"	"30190"	"1"	"4"
"40235"	"40236"	"2"	""
"26954"	"33936"	"5"	""
"33936"	"33937"	"5"	""
"33937"	"33938"	"2"	""
"31860"	"49092"	"1"	""
"32459"	"31531"	"5"	""
"26645"	"44191"	"2"	""
"26645"	"40227"	"1"	"2"
"28853"	"39707"	"1"	"2"
"31533"	"44392"	"5"	""
"38058"	"49093"	"5"	""
"28867"	"39708"	"1"	"2"
"28867"	"46395"	"1"	"2"
"28306"	"33994"	"5"	""
"28306"	"33995"	"1"	"2"
"28306"	"32020"	"1"	"4"
"32020"	"33996"	"5"	""
"28508"	"45750"	"1"	"2"
"29045"	"41282"	"8"	""
"26704"	"45328"	"1"	"4"
"26704"	"41731"	"1"	"2"
"26704"	"41731"	"1"	"4"
"53135"	"54751"	"5"	""
"28396"	"40247"	"1"	"4"
"28893"	"43120"	"5"	""
"28893"	"43121"	"5"	""
"28893"	"44144"	"1"	"4"
"28893"	"43123"	"2"	""
"43123"	"43132"	"5"	""
"28893"	"43151"	"1"	"4"
"28893"	"43154"	"1"	"4"
"43154"	"43135"	"5"	""
"43135"	"43134"	"2"	""
"48866"	"49106"	"5"	""
"35394"	"49109"	"5"	""
"26552"	"50490"	"1"	""
"32980"	"49110"	"5"	""
"32980"	"44923"	"1"	"4"
"39357"	"41880"	"5"	""
"31366"	"49116"	"1"	"4"
"49116"	"49117"	"2"	""
"37012"	"28205"	"2"	""
"29055"	"43166"	"5"	""
"29055"	"43174"	"5"	""
"29055"	"40254"	"1"	"2"
"45331"	"45332"	"5"	""
"45332"	"45333"	"1"	""
"45333"	"45334"	"5"	""
"28575"	"44826"	"2"	""
"44826"	"45298"	"5"	""
"28615"	"46061"	"5"	""
"28615"	"46091"	"5"	""
"28823"	"42800"	"5"	""
"28823"	"42797"	"2"	""
"28823"	"42804"	"1"	"4"
"42804"	"42803"	"5"	""
"42804"	"42807"	"5"	""
"42804"	"42811"	"5"	""
"28823"	"33294"	"1"	"4"
"28823"	"42901"	"1"	"4"
"42901"	"43572"	"2"	""
"42804"	"42808"	"1"	"4"
"42808"	"42809"	"2"	""
"28823"	"43708"	"1"	"4"
"29558"	"33197"	"5"	""
"33197"	"39108"	"5"	""
"33197"	"42728"	"2"	""
"33197"	"44139"	"2"	""
"33197"	"42732"	"2"	""
"29558"	"42735"	"1"	"4"
"42735"	"42738"	"5"	""
"29558"	"42740"	"1"	"4"
"42735"	"42741"	"5"	""
"42741"	"42742"	"5"	""
"42742"	"33198"	"2"	""
"43288"	"47386"	"5"	""
"43288"	"47387"	"2"	""
"27497"	"39233"	"5"	""
"27497"	"39246"	"5"	""
"27497"	"39235"	"1"	"4"
"27497"	"39236"	"1"	"4"
"39236"	"29965"	"5"	""
"29731"	"47760"	"5"	""
"28212"	"30630"	"5"	""
"28212"	"43395"	"2"	""
"28212"	"30631"	"1"	""
"30631"	"30633"	"5"	""
"43395"	"30632"	"1"	"4"
"46814"	"46815"	"2"	""
"42119"	"47824"	"2"	""
"26594"	"37966"	"2"	""
"33906"	"33927"	"2"	""
"46059"	"46060"	"5"	""
"51153"	"27956"	"5"	""
"47485"	"37328"	"1"	""
"27763"	"39359"	"5"	""
"32183"	"32169"	"2"	""
"26746"	"43743"	"5"	""
"26746"	"41925"	"1"	"4"
"26746"	"30559"	"1"	"4"
"26746"	"30560"	"1"	"4"
"26746"	"41689"	"1"	"4"
"47095"	"47076"	"5"	""
"47075"	"47074"	"5"	""
"45871"	"26594"	"1"	""
"29564"	"42598"	"1"	"4"
"26941"	"41398"	"2"	""
"26941"	"42169"	"2"	""
"46980"	"46981"	"1"	"4"
"45295"	"45291"	"5"	""
"45295"	"26949"	"5"	""
"46974"	"49141"	"5"	""
"34275"	"47473"	"5"	""
"27164"	"49142"	"5"	""
"50687"	"32565"	"6"	""
"33277"	"41526"	"5"	""
"34749"	"34790"	"1"	"4"
"41693"	"41694"	"2"	""
"41694"	"48218"	"2"	""
"41882"	"46283"	"2"	""
"32355"	"49144"	"2"	""
"43188"	"49146"	"1"	"4"
"48073"	"49148"	"5"	""
"34053"	"49151"	"2"	""
"47319"	"47321"	"1"	""
"47321"	"47322"	"5"	""
"49153"	"40898"	"5"	""
"49154"	"40323"	"5"	""
"49064"	"49156"	"2"	""
"26479"	"39931"	"5"	""
"47282"	"49157"	"1"	"4"
"49157"	"40266"	"5"	""
"38488"	"39061"	"2"	""
"43174"	"43168"	"5"	""
"29055"	"43167"	"1"	"2"
"29055"	"43170"	"1"	"2"
"44011"	"49160"	"1"	"4"
"28219"	"49161"	"1"	"4"
"43168"	"43169"	"5"	""
"43170"	"43175"	"2"	""
"43175"	"43171"	"5"	""
"29055"	"43172"	"1"	"4"
"43172"	"43173"	"5"	""
"45718"	"45719"	"1"	"4"
"28857"	"30769"	"2"	""
"49651"	"30770"	"2"	""
"27320"	"46092"	"4"	""
"29897"	"43499"	"5"	""
"29897"	"49165"	"1"	"4"
"29404"	"48714"	"5"	""
"47450"	"43503"	"1"	"4"
"47449"	"43545"	"1"	"4"
"29187"	"49169"	"5"	""
"49171"	"49172"	"5"	""
"37569"	"50927"	"1"	"4"
"29398"	"38801"	"1"	""
"30548"	"30550"	"1"	"4"
"28681"	"49182"	"2"	""
"30548"	"30551"	"1"	""
"49176"	"49177"	"1"	"4"
"49178"	"38520"	"4"	""
"49178"	"38521"	"1"	"4"
"49182"	"45472"	"5"	""
"49182"	"45405"	"1"	""
"38706"	"38823"	"5"	""
"38706"	"38788"	"1"	""
"38788"	"38791"	"1"	""
"38706"	"40645"	"1"	""
"52892"	"47532"	"5"	""
"27547"	"41414"	"1"	"4"
"26446"	"29961"	"2"	""
"26446"	"45154"	"2"	""
"45154"	"45153"	"5"	""
"38711"	"26443"	"1"	"4"
"26448"	"48336"	"5"	""
"26448"	"31423"	"1"	"4"
"31423"	"35168"	"1"	"4"
"50130"	"29974"	"5"	""
"26453"	"30088"	"2"	""
"26453"	"44443"	"1"	"4"
"26458"	"30247"	"1"	"4"
"26458"	"29933"	"2"	""
"26458"	"45478"	"1"	"4"
"29690"	"49193"	"1"	"4"
"29690"	"44404"	"1"	"4"
"49200"	"36473"	"5"	""
"46344"	"46345"	"1"	"4"
"26475"	"40067"	"5"	""
"28902"	"30782"	"1"	"4"
"26464"	"48761"	"5"	""
"26737"	"30375"	"1"	""
"27259"	"38455"	"1"	"4"
"27804"	"40052"	"5"	""
"27804"	"49203"	"5"	""
"26468"	"30250"	"2"	""
"29397"	"46530"	"5"	""
"29397"	"49205"	"1"	"4"
"37753"	"46520"	"5"	""
"49210"	"49211"	"5"	""
"49210"	"29747"	"5"	""
"28589"	"49212"	"5"	""
"49212"	"38798"	"5"	""
"49212"	"37523"	"1"	""
"26469"	"46160"	"5"	""
"30516"	"30517"	"5"	""
"30516"	"30519"	"1"	"4"
"30519"	"30520"	"5"	""
"31719"	"39834"	"5"	""
"26828"	"39833"	"8"	""
"26828"	"34786"	"8"	""
"29751"	"47396"	"1"	"4"
"29751"	"38568"	"1"	"4"
"32591"	"47830"	"5"	""
"32591"	"26875"	"5"	""
"29752"	"41613"	"2"	""
"29752"	"41342"	"1"	"4"
"31713"	"40947"	"5"	""
"31713"	"34884"	"9"	""
"27199"	"49217"	"5"	""
"35013"	"35027"	"5"	""
"32701"	"32705"	"2"	""
"26474"	"33420"	"5"	""
"35014"	"35135"	"5"	""
"26476"	"44531"	"1"	"4"
"26476"	"34803"	"5"	""
"41658"	"30300"	"5"	""
"26476"	"45432"	"1"	"4"
"26476"	"41658"	"1"	"4"
"33458"	"31882"	"5"	""
"33458"	"34060"	"1"	"4"
"49217"	"40299"	"7"	""
"39928"	"51384"	"1"	"4"
"47045"	"47060"	"1"	"2"
"47045"	"47048"	"1"	"4"
"49219"	"29757"	"6"	""
"49219"	"39282"	"1"	"4"
"26479"	"46166"	"1"	"4"
"26479"	"49155"	"1"	"4"
"26479"	"42860"	"1"	"4"
"49222"	"37750"	"1"	"4"
"45672"	"49221"	"5"	""
"38415"	"38416"	"5"	""
"38415"	"26480"	"1"	"4"
"49224"	"26481"	"5"	""
"46534"	"26482"	"5"	""
"32009"	"26484"	"2"	""
"43750"	"43751"	"6"	""
"29761"	"42158"	"5"	""
"29761"	"42159"	"1"	"4"
"29761"	"42160"	"1"	"4"
"41351"	"41482"	"2"	""
"27867"	"49228"	"5"	""
"26488"	"39979"	"5"	""
"26497"	"38168"	"5"	""
"30539"	"30540"	"1"	""
"30546"	"30547"	"5"	""
"30546"	"30545"	"1"	"4"
"30546"	"30542"	"1"	"4"
"30542"	"30543"	"5"	""
"30542"	"30544"	"5"	""
"49230"	"44053"	"1"	"4"
"29642"	"49231"	"2"	""
"50425"	"49232"	"5"	""
"39877"	"49233"	"1"	"2"
"53014"	"26502"	"5"	""
"49242"	"46081"	"2"	""
"40014"	"39937"	"1"	"4"
"40014"	"39660"	"1"	"4"
"27664"	"34601"	"5"	""
"43672"	"49250"	"1"	"4"
"50812"	"36129"	"5"	""
"41135"	"41138"	"1"	"4"
"40661"	"40663"	"1"	"4"
"26509"	"30328"	"1"	"4"
"46167"	"34157"	"7"	""
"46167"	"26512"	"2"	""
"26512"	"31770"	"7"	""
"28642"	"30044"	"1"	""
"30638"	"30639"	"5"	""
"28852"	"49264"	"1"	"2"
"28852"	"35219"	"1"	"4"
"28852"	"44402"	"1"	"4"
"26513"	"30329"	"1"	"4"
"30579"	"30580"	"5"	""
"35100"	"31774"	"5"	""
"26517"	"30334"	"2"	""
"30334"	"44373"	"2"	""
"27584"	"49261"	"2"	""
"49271"	"40863"	"5"	""
"26520"	"30335"	"2"	""
"30335"	"42267"	"1"	"4"
"26522"	"29971"	"5"	""
"26522"	"30336"	"1"	"4"
"26522"	"30337"	"1"	"4"
"26662"	"33126"	"5"	""
"28226"	"44293"	"2"	""
"34325"	"34326"	"2"	""
"26532"	"40611"	"5"	""
"26532"	"40103"	"5"	""
"26532"	"43512"	"1"	"4"
"43512"	"46197"	"2"	""
"45382"	"45383"	"2"	""
"26593"	"51540"	"1"	"4"
"49283"	"29897"	"5"	""
"28966"	"41737"	"2"	""
"41059"	"29866"	"9"	""
"29866"	"41057"	"2"	""
"41059"	"32797"	"1"	""
"27820"	"46113"	"2"	""
"46113"	"30030"	"5"	""
"26595"	"47123"	"5"	""
"26538"	"34403"	"5"	""
"34403"	"46017"	"3"	""
"49554"	"46474"	"1"	"4"
"35812"	"49290"	"1"	"4"
"28219"	"49295"	"1"	"4"
"49306"	"49307"	"1"	"4"
"28975"	"49181"	"1"	"4"
"35805"	"49310"	"5"	""
"35805"	"49309"	"2"	""
"35805"	"49285"	"1"	""
"35811"	"49291"	"1"	""
"47080"	"47079"	"1"	"4"
"30502"	"49184"	"5"	""
"35805"	"49312"	"1"	"4"
"26596"	"45137"	"1"	""
"26596"	"30083"	"1"	""
"49314"	"45138"	"2"	""
"49314"	"49315"	"1"	""
"39066"	"47763"	"1"	"4"
"45553"	"39706"	"2"	""
"45714"	"29767"	"5"	""
"45714"	"38993"	"1"	"4"
"45481"	"45561"	"1"	"4"
"45287"	"48519"	"2"	""
"47205"	"47371"	"2"	""
"27469"	"47136"	"5"	""
"27469"	"47893"	"1"	"4"
"27469"	"47280"	"1"	"4"
"27469"	"47278"	"1"	"4"
"27469"	"47277"	"2"	""
"27469"	"47279"	"1"	"4"
"47206"	"47369"	"2"	""
"44488"	"49318"	"1"	"4"
"26323"	"33672"	"5"	""
"26323"	"33922"	"1"	"4"
"26323"	"49320"	"1"	"4"
"52931"	"54848"	"5"	""
"26603"	"30091"	"1"	""
"26603"	"30092"	"1"	""
"41195"	"45831"	"1"	""
"29721"	"49323"	"8"	""
"40652"	"40653"	"1"	""
"31022"	"49324"	"1"	"4"
"49324"	"49325"	"1"	"4"
"34544"	"34545"	"2"	""
"32816"	"49327"	"1"	"4"
"49149"	"49150"	"2"	""
"46988"	"46989"	"1"	"4"
"46988"	"46990"	"1"	"4"
"26606"	"30095"	"1"	""
"26652"	"31797"	"5"	""
"26608"	"30099"	"1"	""
"33567"	"49016"	"1"	"4"
"33567"	"33565"	"5"	""
"26609"	"49338"	"5"	""
"26609"	"33360"	"1"	""
"28125"	"48487"	"1"	"4"
"48487"	"40017"	"5"	""
"40017"	"41449"	"5"	""
"28125"	"47350"	"1"	"4"
"28125"	"49339"	"1"	"4"
"28125"	"48488"	"2"	""
"49338"	"33257"	"2"	""
"29878"	"35144"	"5"	""
"34434"	"34439"	"2"	""
"38856"	"38857"	"5"	""
"26362"	"30320"	"5"	""
"36879"	"49347"	"1"	"4"
"27001"	"34397"	"5"	""
"48387"	"48388"	"5"	""
"48387"	"48389"	"1"	"4"
"48485"	"39670"	"1"	""
"26540"	"46162"	"1"	"4"
"28511"	"49354"	"1"	""
"35762"	"49355"	"2"	""
"49181"	"49356"	"2"	""
"28494"	"33549"	"5"	""
"34827"	"49360"	"1"	"4"
"49358"	"49359"	"1"	"4"
"29291"	"40552"	"2"	"3"
"29291"	"40616"	"2"	"6"
"40616"	"40617"	"5"	"6"
"29291"	"40550"	"2"	"3"
"29291"	"38829"	"2"	"3"
"40550"	"38829"	"5"	""
"29291"	"40551"	"1"	"4"
"40550"	"40558"	"1"	"4"
"29291"	"40624"	"1"	"4"
"49428"	"36962"	"1"	"4"
"29138"	"48193"	"8"	""
"29138"	"48192"	"8"	""
"29871"	"30317"	"5"	""
"30317"	"30379"	"2"	""
"30379"	"31108"	"5"	""
"30379"	"31109"	"1"	""
"29871"	"30903"	"1"	""
"29871"	"30369"	"1"	""
"30369"	"30316"	"5"	""
"29871"	"30417"	"1"	""
"55053"	"45212"	"5"	""
"55053"	"38603"	"3"	""
"26542"	"38495"	"3"	""
"26542"	"45213"	"1"	"4"
"45213"	"45217"	"5"	""
"38602"	"28441"	"5"	""
"26546"	"42053"	"2"	""
"27697"	"49372"	"5"	""
"27697"	"42019"	"5"	""
"27697"	"47442"	"1"	"4"
"47442"	"45787"	"5"	""
"48991"	"49374"	"5"	""
"44678"	"44679"	"1"	"1"
"43738"	"26549"	"1"	"4"
"29869"	"46054"	"4"	""
"31598"	"43502"	"1"	"4"
"31598"	"31605"	"2"	""
"26550"	"30160"	"1"	"4"
"29868"	"31324"	"2"	""
"32248"	"43571"	"1"	""
"26613"	"43592"	"1"	""
"49377"	"26551"	"5"	""
"49377"	"44114"	"1"	"4"
"26466"	"49378"	"5"	""
"49376"	"49379"	"1"	"4"
"33202"	"33203"	"1"	"4"
"33202"	"26555"	"1"	"4"
"29867"	"47660"	"1"	"4"
"29867"	"47656"	"1"	"4"
"40646"	"40635"	"5"	""
"29865"	"40524"	"1"	"4"
"29758"	"49381"	"1"	"6"
"44786"	"49383"	"1"	"4"
"29864"	"42235"	"5"	""
"29864"	"48085"	"1"	"4"
"44786"	"49382"	"1"	""
"26561"	"39469"	"1"	"4"
"49386"	"49387"	"1"	"4"
"44568"	"29863"	"4"	""
"43668"	"43669"	"2"	""
"29861"	"38919"	"5"	""
"29861"	"43065"	"5"	""
"31908"	"41739"	"1"	"4"
"27541"	"49398"	"5"	""
"29861"	"40751"	"1"	"4"
"29861"	"40750"	"1"	"4"
"26881"	"49400"	"2"	""
"29859"	"47541"	"5"	""
"26567"	"46023"	"1"	"4"
"26568"	"46110"	"1"	"4"
"46123"	"46124"	"1"	"4"
"26624"	"30116"	"2"	""
"31286"	"31287"	"2"	""
"26624"	"31286"	"1"	""
"26624"	"31288"	"1"	""
"26624"	"30118"	"1"	""
"29857"	"34710"	"5"	""
"29857"	"34711"	"5"	""
"34711"	"34713"	"5"	""
"29857"	"34709"	"5"	""
"29857"	"34770"	"5"	""
"26624"	"30117"	"1"	""
"26624"	"31284"	"1"	""
"29515"	"30695"	"2"	""
"37797"	"37800"	"2"	""
"28037"	"42290"	"5"	""
"44421"	"43808"	"1"	"4"
"47937"	"47938"	"1"	"4"
"31615"	"31616"	"5"	""
"26576"	"45007"	"1"	"4"
"43564"	"43565"	"1"	"4"
"37797"	"49409"	"1"	"4"
"37800"	"29856"	"2"	""
"26578"	"34669"	"6"	""
"26578"	"45828"	"1"	"4"
"34669"	"48796"	"1"	"4"
"28107"	"49412"	"5"	""
"26628"	"33424"	"1"	""
"26628"	"33436"	"1"	""
"49753"	"42699"	"5"	""
"42220"	"40531"	"5"	""
"26580"	"48756"	"5"	""
"26580"	"48757"	"1"	"4"
"49417"	"42322"	"1"	"4"
"49417"	"45907"	"5"	""
"45289"	"45290"	"1"	"4"
"27840"	"49419"	"1"	"4"
"38527"	"38528"	"2"	""
"29373"	"49423"	"5"	""
"49424"	"49425"	"5"	""
"49422"	"42649"	"5"	""
"29846"	"47374"	"1"	"4"
"29846"	"49163"	"1"	"4"
"49056"	"29845"	"4"	""
"49427"	"48200"	"5"	""
"49429"	"26784"	"1"	"4"
"30267"	"47438"	"5"	""
"47438"	"30268"	"1"	"4"
"35840"	"35841"	"5"	""
"46170"	"34164"	"7"	""
"46170"	"26581"	"2"	""
"26581"	"34166"	"7"	""
"50195"	"46178"	"5"	""
"50195"	"47703"	"5"	""
"35101"	"47609"	"1"	""
"29841"	"40198"	"1"	""
"29844"	"48565"	"2"	""
"29842"	"34331"	"7"	""
"37569"	"29168"	"5"	""
"29839"	"40710"	"5"	""
"29839"	"40701"	"2"	""
"26583"	"39407"	"2"	""
"49236"	"49433"	"5"	""
"47574"	"26588"	"5"	""
"41478"	"32207"	"5"	""
"32207"	"33971"	"2"	""
"29835"	"45111"	"5"	""
"29835"	"44235"	"2"	""
"41478"	"39981"	"1"	"4"
"41478"	"41479"	"1"	"4"
"41479"	"41474"	"5"	""
"41478"	"46221"	"1"	"4"
"41247"	"41248"	"1"	""
"29833"	"37853"	"1"	"4"
"29833"	"48212"	"1"	"4"
"26633"	"48955"	"1"	"4"
"35547"	"45622"	"2"	""
"27205"	"44658"	"5"	""
"47039"	"47041"	"5"	""
"49436"	"41244"	"2"	""
"26634"	"43485"	"5"	""
"26634"	"43486"	"5"	""
"32134"	"39049"	"1"	"4"
"49437"	"43484"	"5"	""
"49437"	"49440"	"5"	""
"46275"	"44406"	"1"	"4"
"29830"	"34840"	"3"	""
"33120"	"33121"	"1"	""
"32209"	"33777"	"1"	"4"
"29828"	"30945"	"5"	""
"29828"	"30946"	"5"	""
"29828"	"30947"	"1"	"4"
"44288"	"44286"	"5"	""
"49445"	"44384"	"1"	"4"
"49452"	"49453"	"1"	"4"
"46080"	"46311"	"5"	""
"39438"	"26643"	"5"	""
"29827"	"43092"	"5"	""
"29827"	"30073"	"4"	""
"26646"	"33268"	"2"	""
"26646"	"33267"	"1"	""
"30463"	"30478"	"1"	"4"
"29826"	"37784"	"2"	""
"29826"	"37785"	"6"	""
"37785"	"37782"	"2"	""
"37787"	"29825"	"5"	""
"53587"	"40018"	"5"	""
"46472"	"44274"	"1"	"4"
"27216"	"32636"	"1"	"4"
"38834"	"49462"	"5"	""
"46549"	"46550"	"5"	""
"46315"	"46318"	"1"	"4"
"26649"	"30123"	"1"	""
"29707"	"49467"	"1"	"4"
"43559"	"43560"	"1"	"4"
"30942"	"30943"	"5"	""
"49468"	"27218"	"6"	""
"29820"	"40396"	"1"	"4"
"27218"	"45969"	"8"	""
"28509"	"38870"	"5"	""
"28509"	"49470"	"1"	""
"30463"	"30464"	"5"	""
"30464"	"30465"	"6"	""
"30463"	"30474"	"5"	""
"30474"	"30475"	"6"	""
"30463"	"30476"	"4"	""
"30463"	"30477"	"5"	""
"27219"	"42836"	"1"	"4"
"27709"	"49473"	"1"	"4"
"27709"	"33684"	"1"	"4"
"26167"	"32730"	"1"	"4"
"32227"	"31397"	"6"	""
"29160"	"39247"	"2"	""
"29160"	"42620"	"1"	"4"
"50372"	"44632"	"1"	"2"
"29817"	"33193"	"5"	""
"31407"	"32593"	"8"	""
"32593"	"32594"	"8"	""
"32997"	"49474"	"1"	""
"26973"	"49076"	"1"	""
"42661"	"42664"	"6"	""
"42661"	"42662"	"5"	""
"42661"	"42665"	"1"	""
"42665"	"29088"	"5"	""
"32545"	"42668"	"1"	"4"
"42668"	"26175"	"5"	""
"32545"	"42673"	"1"	"4"
"49478"	"45521"	"1"	"4"
"26659"	"39335"	"2"	""
"26659"	"46262"	"2"	""
"47592"	"47593"	"5"	""
"49428"	"49362"	"2"	""
"49362"	"49485"	"4"	""
"43782"	"43783"	"1"	"2"
"47102"	"47064"	"1"	"4"
"29808"	"30940"	"1"	"4"
"40426"	"40427"	"1"	"4"
"46011"	"46015"	"2"	""
"46015"	"46016"	"7"	""
"39783"	"39784"	"5"	""
"35227"	"49137"	"2"	""
"47437"	"44092"	"1"	"4"
"31359"	"32290"	"5"	""
"31359"	"46425"	"1"	"4"
"32290"	"46427"	"1"	"4"
"26663"	"41918"	"1"	""
"48058"	"39982"	"6"	""
"27338"	"48692"	"1"	"4"
"49044"	"48691"	"5"	""
"39982"	"48058"	"3"	""
"48058"	"48057"	"1"	"4"
"43536"	"43537"	"1"	"4"
"43537"	"43921"	"2"	""
"43537"	"44247"	"5"	""
"49491"	"42931"	"1"	"4"
"35030"	"35031"	"2"	""
"41535"	"28865"	"2"	""
"28865"	"41556"	"5"	""
"29450"	"41345"	"5"	""
"38175"	"42761"	"1"	"4"
"38229"	"29524"	"1"	"4"
"47071"	"37813"	"4"	""
"36107"	"53741"	"4"	""
"49500"	"31680"	"8"	""
"49500"	"49502"	"8"	""
"29799"	"43178"	"5"	""
"29799"	"43179"	"2"	""
"29799"	"43180"	"2"	""
"29799"	"43181"	"2"	""
"29799"	"43182"	"1"	"4"
"29799"	"43183"	"1"	"4"
"32273"	"49505"	"1"	""
"49508"	"26667"	"5"	""
"49510"	"49509"	"5"	""
"41390"	"49512"	"1"	"4"
"49514"	"26759"	"5"	""
"47308"	"47309"	"1"	"4"
"45839"	"45767"	"1"	"4"
"47372"	"47375"	"1"	"4"
"32070"	"49521"	"1"	""
"26938"	"49522"	"1"	"4"
"27221"	"41884"	"1"	""
"39795"	"27223"	"1"	"4"
"31363"	"47150"	"1"	"4"
"49524"	"27226"	"1"	"4"
"45814"	"45815"	"5"	""
"36808"	"28042"	"5"	""
"42517"	"28129"	"4"	""
"29481"	"31267"	"1"	"4"
"29481"	"35494"	"1"	"4"
"38635"	"27228"	"5"	""
"29002"	"36804"	"5"	""
"40065"	"40071"	"1"	"4"
"49536"	"49537"	"5"	""
"48814"	"49538"	"4"	""
"26203"	"32419"	"1"	"4"
"32419"	"48846"	"2"	""
"27231"	"43330"	"1"	"4"
"46899"	"46903"	"5"	""
"49385"	"26289"	"8"	""
"26289"	"40219"	"5"	""
"30457"	"30458"	"1"	"2"
"30458"	"30459"	"2"	""
"35170"	"32487"	"5"	""
"49385"	"49539"	"5"	""
"26205"	"30534"	"1"	"4"
"35141"	"32491"	"5"	""
"34333"	"32494"	"5"	""
"49388"	"31557"	"8"	""
"31557"	"32469"	"8"	""
"49389"	"31558"	"5"	""
"49541"	"33635"	"5"	""
"26289"	"49544"	"5"	""
"46819"	"49547"	"5"	""
"46875"	"49548"	"5"	""
"49428"	"49486"	"1"	"4"
"49551"	"49552"	"1"	"4"
"49552"	"31518"	"5"	""
"49554"	"26538"	"5"	""
"49555"	"31520"	"1"	"4"
"31520"	"49556"	"5"	""
"46111"	"46833"	"8"	""
"46803"	"46804"	"5"	""
"46833"	"46832"	"5"	""
"28220"	"31524"	"1"	"4"
"35225"	"49561"	"8"	""
"31523"	"31525"	"8"	""
"35811"	"49562"	"1"	"4"
"26749"	"31946"	"5"	""
"47037"	"47040"	"1"	""
"46839"	"49563"	"5"	""
"26213"	"35226"	"5"	""
"26940"	"31123"	"2"	""
"26940"	"31293"	"5"	""
"26940"	"44959"	"5"	""
"31123"	"31134"	"1"	"4"
"26940"	"31153"	"1"	""
"31123"	"31136"	"1"	"4"
"26940"	"31296"	"1"	"4"
"44959"	"44780"	"1"	"4"
"31293"	"31135"	"1"	"4"
"44780"	"45080"	"1"	"4"
"45080"	"44961"	"5"	""
"44780"	"45023"	"1"	""
"26940"	"31295"	"1"	"4"
"26940"	"45043"	"1"	"4"
"31136"	"44960"	"1"	"4"
"26940"	"31137"	"1"	"4"
"26940"	"31152"	"1"	"4"
"31152"	"31139"	"5"	""
"32548"	"49566"	"1"	"7"
"27237"	"40638"	"1"	"4"
"27230"	"49568"	"1"	"4"
"26218"	"30153"	"1"	"4"
"30153"	"44493"	"1"	"4"
