"id"	"usagenote"	"POS"	"phraseolstruc"	"embededlex"	"othercharac"
"29411"	""	"23"	""	""	""
"29412"	""	"23"	""	""	""
"29413"	""	"20"	""	""	"(28)"
"29414"	""	"20"	""	""	"(26)"
"29415"	""	"19"	""	""	""
"29416"	""	"19"	""	""	""
"29417"	""	"23"	""	""	""
"29418"	""	"20"	""	""	"(26)"
"29419"	""	"20"	""	""	"(28)"
"29420"	""	"19"	""	""	""
"29421"	""	"19"	""	""	""
"29422"	""	"83"	""	""	""
"29423"	""	"20"	""	""	"(28)"
"29424"	""	"20"	""	""	"(28)"
"29425"	""	"20"	""	""	"(26)"
"29426"	""	"23"	""	""	""
"29427"	""	"80"	""	""	""
"29428"	""	"20"	""	""	"(28)"
"29429"	""	"20"	""	""	"(28)"
"29430"	""	"20"	""	""	"(26)"
"29431"	""	"20"	""	""	"(26)"
"29432"	""	"81"	""	""	""
"29433"	""	"20"	""	""	"(26)"
"29434"	""	"20"	""	""	"(26)"
"29435"	""	"23"	""	""	""
"29436"	""	"20"	""	""	"(28)"
"29437"	""	"20"	""	""	"(28)"
"29438"	""	"20"	""	""	"(26)"
"29439"	""	"83"	""	""	""
"29440"	""	"20"	""	""	"(26)"
"29441"	""	"80"	""	""	""
"29442"	""	"80"	""	""	""
"29443"	""	"20"	""	""	"(28)"
"29444"	""	"20"	""	""	"(28,44)"
"29446"	""	"19"	""	""	""
"29447"	""	"20"	""	""	"(26)"
"29448"	""	"20"	""	""	"(26)"
"29449"	""	"19"	""	""	""
"29450"	""	"20"	""	""	"(26)"
"29451"	""	"20"	""	""	"(28)"
"29452"	""	"20"	""	""	"(28)"
"29453"	""	"77"	""	""	""
"29454"	""	"20"	""	""	"(28)"
"29455"	""	"20"	""	""	"(28)"
"29456"	""	"23"	""	""	""
"29457"	""	"23"	""	""	""
"29458"	""	"20"	""	""	"(26)"
"29459"	""	"23"	""	""	""
"29460"	""	"20"	""	""	"(28)"
"29461"	""	"63"	""	""	""
"29462"	""	"23"	""	""	""
"29463"	""	"23"	""	""	""
"29464"	""	"23"	""	""	""
"29465"	""	"23"	""	""	""
"29466"	""	"19"	""	""	""
"29467"	""	"23"	""	""	""
"29468"	""	"23"	""	""	""
"29469"	""	"23"	""	""	""
"29470"	""	"23"	""	""	""
"29471"	""	"23"	""	""	""
"29472"	""	"23"	""	""	""
"29473"	""	"19"	""	""	""
"29474"	""	"20"	""	""	"(26)"
"29475"	""	"20"	""	""	"(28,73)"
"29476"	""	"19"	""	""	""
"29477"	""	"23"	""	""	""
"29478"	""	"20"	""	""	"(26)"
"29479"	""	"64"	""	""	""
"29480"	""	"20"	"Prép-NC"	"(29479,29443)"	"(28)"
"29481"	""	"23"	""	""	""
"29482"	""	"20"	"Prép-NC"	"(35091,38335)"	"(28)"
"29483"	""	"23"	""	""	""
"29484"	""	"19"	""	""	""
"29485"	""	"24"	""	""	""
"29486"	""	"63"	""	""	""
"29487"	""	"20"	""	""	"(28)"
"29488"	""	"19"	""	""	""
"29489"	""	"23"	""	""	""
"29490"	""	"20"	""	""	"(28)"
"29491"	""	"20"	""	""	"(26)"
"29492"	""	"20"	""	""	"(26)"
"29493"	""	"19"	""	""	""
"29494"	""	"20"	""	""	"(28)"
"29495"	""	"20"	""	""	"(28)"
"29496"	""	"19"	""	""	""
"29497"	""	"20"	""	""	"(28)"
"29498"	""	"20"	""	""	"(26)"
"29499"	""	"23"	""	""	""
"29500"	""	"20"	"NC-NC"	"(49351,46492)"	"(26)"
"29501"	""	"20"	""	""	"(26)"
"29502"	""	"20"	""	""	"(28)"
"29503"	""	"20"	""	""	"(28)"
"29504"	""	"20"	""	""	"(26)"
"29505"	""	"20"	""	""	""
"29506"	"(6)"	"20"	""	""	"(28)"
"29507"	""	"19"	""	""	""
"29508"	""	"20"	""	""	"(28)"
"29509"	"(187)"	"20"	""	""	"(28)"
"29510"	""	"23"	""	""	""
"29511"	""	"19"	""	""	""
"29512"	""	"23"	""	""	""
"29513"	""	"20"	""	""	"(28)"
"29514"	""	"23"	""	""	""
"29515"	""	"20"	""	""	"(28)"
"29516"	""	"23"	""	""	""
"29517"	""	"20"	""	""	"(28,50)"
"29518"	""	"23"	""	""	""
"29519"	""	"20"	""	""	"(26)"
"29520"	""	"23"	""	""	""
"29521"	""	"23"	""	""	""
"29522"	""	"24"	""	""	""
"29523"	""	"19"	""	""	""
"29524"	""	"20"	""	""	"(26)"
"29525"	""	"23"	""	""	""
"29526"	""	"20"	""	""	"(28)"
"29527"	""	"19"	""	""	""
"29528"	""	"20"	""	""	"(26)"
"29529"	""	"19"	""	""	""
"29530"	""	"20"	""	""	"(28)"
"29531"	""	"20"	""	""	"(28)"
"29532"	""	"23"	""	""	""
"29533"	""	"23"	""	""	""
"29534"	""	"23"	""	""	""
"29535"	""	"23"	""	""	""
"29536"	""	"64"	""	""	""
"29537"	""	"19"	""	""	""
"29538"	""	"20"	""	""	"(26)"
"29539"	""	"23"	""	""	""
"29540"	""	"20"	""	""	"(28)"
"29541"	""	"23"	""	""	""
"29542"	""	"63"	""	""	""
"29543"	""	"23"	""	""	""
"29544"	""	"20"	""	""	"(28)"
"29545"	""	"23"	""	""	""
"29546"	""	"23"	""	""	""
"29547"	""	"19"	""	""	""
"29548"	""	"23"	""	""	""
"29549"	""	"23"	""	""	""
"29550"	""	"20"	""	""	"(28)"
"29551"	""	"20"	""	""	"(26)"
"29552"	""	"20"	""	""	"(28)"
"29553"	""	"20"	""	""	"(26)"
"29554"	""	"20"	""	""	"(28)"
"29555"	""	"20"	""	""	"(26)"
"29556"	""	"20"	""	""	"(28)"
"29557"	""	"20"	""	""	"(28)"
"29558"	""	"20"	""	""	"(26)"
"29559"	""	"20"	""	""	"(28)"
"29560"	""	"20"	""	""	"(28,191)"
"29561"	""	"20"	""	""	"(26)"
"29562"	""	"20"	""	""	"(26)"
"29563"	""	"20"	""	""	"(26)"
"29564"	""	"23"	""	""	""
"29565"	""	"23"	""	""	""
"29566"	""	"20"	""	""	"(28)"
"29567"	""	"20"	""	""	"(28)"
"29568"	""	"20"	""	""	"(28)"
"29569"	"(61)"	"20"	""	""	"(28)"
"29570"	""	"83"	""	""	""
"29571"	""	"20"	""	""	"(28)"
"29572"	""	"63"	""	""	""
"29573"	""	"20"	""	""	"(26)"
"29574"	""	"63"	""	""	""
"29575"	""	"23"	""	""	""
"29576"	""	"20"	""	""	"(28,44)"
"29577"	""	"63"	""	""	""
"29578"	""	"23"	""	""	""
"29579"	""	"20"	""	""	"(28)"
"29580"	""	"20"	""	""	"(26)"
"29581"	""	"20"	""	""	"(26)"
"29582"	""	"20"	""	""	"(28,44)"
"29583"	""	"20"	""	""	"(26)"
"29584"	""	"23"	""	""	""
"29585"	""	"20"	""	""	"(28)"
"29586"	""	"20"	""	""	"(28)"
"29587"	""	"86"	""	""	""
"29588"	""	"20"	""	""	"(26)"
"29589"	"(5)"	"20"	""	""	"(28)"
"29590"	""	"23"	""	""	""
"29591"	""	"19"	""	""	""
"29592"	""	"20"	""	""	"(26)"
"29593"	""	"20"	""	""	"(28)"
"29594"	""	"23"	""	""	""
"29595"	""	"20"	""	""	"(26)"
"29596"	""	"63"	""	""	""
"29597"	""	"23"	""	""	""
"29598"	""	"20"	""	""	"(26)"
"29599"	""	"20"	""	""	"(26)"
"29600"	""	"20"	""	""	"(26)"
"29601"	""	"20"	""	""	"(28)"
"29602"	""	"20"	""	""	"(28,44)"
"29603"	""	"20"	""	""	"(26)"
"29604"	""	"23"	""	""	""
"29605"	""	"19"	""	""	""
"29606"	""	"20"	""	""	"(26)"
"29607"	""	"23"	""	""	""
"29608"	""	"20"	""	""	"(28)"
"29609"	""	"20"	""	""	"(26)"
"29610"	""	"20"	""	""	"(26)"
"29611"	""	"20"	""	""	"(26)"
"29612"	""	"23"	""	""	""
"29613"	""	"20"	""	""	"(26)"
"29614"	""	"20"	""	""	"(28)"
"29615"	""	"23"	""	""	""
"29616"	""	"19"	""	""	""
"29617"	""	"20"	""	""	"(28)"
"29618"	""	"20"	""	""	"(26)"
"29619"	""	"20"	""	""	"(26)"
"29620"	""	"20"	""	""	"(26)"
"29621"	""	"19"	""	""	""
"29622"	""	"20"	""	""	"(28)"
"29623"	""	"20"	""	""	"(28)"
"29624"	""	"20"	""	""	"(28)"
"29625"	""	"20"	""	""	"(26)"
"29626"	""	"19"	""	""	""
"29627"	""	"20"	""	""	"(28)"
"29628"	""	"20"	""	""	"(28)"
"29629"	""	"20"	""	""	"(28)"
"29630"	""	"20"	""	""	"(28)"
"29631"	""	"20"	""	""	"(28,44)"
"29632"	""	"20"	""	""	"(28)"
"29633"	""	"19"	""	""	""
"29634"	""	"20"	""	""	"(28,44)"
"29635"	""	"20"	""	""	"(26)"
"29636"	""	"20"	""	""	"(28)"
"29637"	""	"20"	""	""	"(26)"
"29638"	""	"23"	""	""	""
"29639"	""	"20"	""	""	"(28)"
"29640"	""	"20"	""	""	"(26)"
"29641"	""	"20"	""	""	"(28)"
"29642"	""	"20"	""	""	"(28)"
"29643"	""	"95"	""	""	""
"29644"	""	"20"	""	""	"(26)"
"29645"	""	"20"	""	""	"(26)"
"29646"	""	"20"	""	""	"(28)"
"29647"	""	"23"	""	""	""
"29648"	""	"20"	""	""	"(26)"
"29649"	""	"20"	""	""	"(26)"
"29650"	""	"20"	""	""	"(28)"
"29651"	""	"23"	""	""	""
"29652"	""	"77"	""	""	""
"29653"	""	"20"	""	""	"(28)"
"29654"	""	"20"	""	""	"(26)"
"29655"	""	"20"	""	""	"(28)"
"29656"	""	"20"	""	""	"(28)"
"29657"	""	"23"	""	""	""
"29658"	""	"20"	""	""	"(26)"
"29659"	""	"20"	""	""	"(28)"
"29660"	""	"20"	""	""	"(28)"
"29661"	""	"20"	""	""	"(28)"
"29662"	""	"63"	""	""	""
"29663"	""	"20"	""	""	"(28)"
"29664"	""	"20"	""	""	"(26)"
"29665"	""	"20"	""	""	"(26)"
"29666"	""	"20"	""	""	"(28)"
"29667"	""	"23"	""	""	""
"29668"	""	"63"	""	""	""
"29669"	""	"20"	""	""	"(26)"
"29670"	""	"20"	""	""	"(28)"
"29671"	""	"23"	""	""	""
"29672"	""	"20"	""	""	"(28)"
"29673"	""	"20"	""	""	"(26)"
"29674"	""	"23"	""	""	""
"29675"	""	"23"	""	""	""
"29676"	""	"19"	""	""	""
"29677"	""	"63"	""	""	""
"29678"	""	"81"	""	""	""
"29679"	""	"19"	""	""	""
"29680"	""	"23"	""	""	""
"29681"	""	"20"	""	""	"(26)"
"29682"	""	"23"	""	""	""
"29683"	""	"20"	""	""	"(26)"
"29685"	""	"20"	""	""	"(28)"
"29686"	""	"19"	""	""	""
"29687"	""	"23"	""	""	""
"29688"	""	"20"	""	""	"(28)"
"29689"	""	"23"	""	""	""
"29690"	""	"20"	""	""	"(28)"
"29691"	""	"23"	""	""	""
"29692"	""	"20"	""	""	"(26)"
"29693"	""	"20"	""	""	"(28)"
"29694"	""	"20"	""	""	"(28)"
"29695"	""	"20"	""	""	"(26)"
"29696"	""	"23"	""	""	""
"29697"	""	"20"	""	""	"(26)"
"29698"	""	"20"	""	""	"(26)"
"29699"	""	"23"	""	""	""
"29700"	""	"19"	""	""	""
"29701"	""	"23"	""	""	""
"29702"	""	"23"	""	""	""
"29703"	""	"23"	""	""	""
"29704"	""	"23"	""	""	""
"29705"	""	"23"	""	""	""
"29706"	""	"80"	""	""	""
"29707"	""	"23"	""	""	""
"29708"	""	"23"	""	""	""
"29709"	""	"20"	""	""	"(26)"
"29710"	""	"80"	""	""	""
"29711"	""	"80"	"Num Num"	"(29710,50030)"	""
"29712"	""	"63"	""	""	""
"29713"	""	"20"	""	""	"(28)"
"29714"	""	"20"	""	""	"(28)"
"29715"	""	"20"	""	""	"(28)"
"29716"	""	"23"	""	""	""
"29717"	""	"23"	""	""	""
"29718"	""	"20"	""	""	"(28)"
"29719"	""	"20"	""	""	"(28)"
"29720"	""	"19"	""	""	""
"29721"	""	"20"	""	""	"(26)"
"29722"	""	"80"	""	""	""
"29723"	""	"19"	""	""	""
"29724"	""	"23"	""	""	""
"29725"	""	"20"	""	""	"(26)"
"29726"	""	"20"	""	""	"(28)"
"29727"	""	"63"	""	""	""
"29728"	""	"20"	""	""	"(28)"
"29729"	""	"20"	""	""	"(28)"
"29730"	""	"20"	""	""	"(28,47)"
"29731"	""	"20"	""	""	"(26)"
"29732"	""	"20"	""	""	"(28)"
"29733"	""	"20"	""	""	"(26)"
"29734"	""	"23"	""	""	""
"29735"	""	"20"	""	""	"(28)"
"29736"	""	"95"	""	""	""
"29737"	""	"20"	""	""	"(28)"
"29738"	""	"23"	""	""	""
"29739"	""	"20"	""	""	"(28)"
"29740"	""	"23"	""	""	""
"29741"	""	"20"	""	""	"(28)"
"29742"	""	"20"	""	""	"(28)"
"29743"	""	"20"	""	""	"(28)"
"29744"	""	"79"	""	""	""
"29745"	""	"80"	""	""	""
"29746"	""	"81"	""	""	""
"29747"	""	"19"	""	""	""
"29748"	""	"20"	""	""	"(28)"
"29749"	""	"19"	""	""	""
"29750"	""	"23"	""	""	""
"29751"	""	"20"	""	""	"(26)"
"29752"	""	"20"	""	""	"(28,44)"
"29753"	""	"20"	""	""	"(26)"
"29754"	""	"19"	""	""	""
"29755"	""	"20"	""	""	"(26)"
"29756"	""	"20"	""	""	"(28)"
"29757"	""	"23"	""	""	""
"29758"	""	"20"	""	""	"(26)"
"29759"	""	"20"	""	""	"(28)"
"29760"	""	"19"	""	""	""
"29761"	""	"23"	""	""	""
"29762"	""	"20"	""	""	"(26,47)"
"29763"	""	"20"	""	""	"(28,56)"
"29764"	""	"20"	""	""	"(28)"
"29765"	""	"23"	""	""	""
"29766"	""	"20"	""	""	"(26)"
"29767"	""	"20"	""	""	"(28,44)"
"29768"	""	"20"	""	""	"(26)"
"29769"	""	"19"	""	""	""
"29770"	""	"23"	""	""	""
"29771"	""	"20"	""	""	"(26)"
"29772"	""	"19"	""	""	""
"29773"	""	"20"	""	""	"(26)"
"29774"	""	"19"	""	""	""
"29775"	""	"20"	""	""	"(26)"
"29776"	""	"20"	""	""	"(26)"
"29777"	""	"23"	""	""	""
"29778"	""	"20"	""	""	"(26)"
"29779"	""	"23"	""	""	""
"29780"	""	"20"	""	""	"(26)"
"29781"	""	"23"	""	""	""
"29782"	""	"20"	""	""	"(26)"
"29783"	""	"20"	""	""	"(28)"
"29784"	""	"19"	""	""	""
"29785"	""	"20"	""	""	"(28)"
"29786"	""	"20"	""	""	"(26)"
"29787"	""	"19"	""	""	""
"29788"	""	"20"	""	""	"(26,56)"
"29789"	""	"20"	""	""	"(28)"
"29790"	""	"23"	""	""	""
"29791"	""	"20"	""	""	"(26)"
"29792"	""	"20"	""	""	"(28)"
"29793"	""	"20"	""	""	"(28,56,44)"
"29794"	""	"23"	""	""	""
"29795"	""	"20"	""	""	"(28)"
"29796"	""	"23"	""	""	""
"29797"	""	"23"	""	""	""
"29798"	""	"20"	""	""	"(28)"
"29799"	""	"20"	""	""	"(28)"
"29801"	""	"20"	""	""	"(28)"
"29802"	""	"20"	""	""	"(28)"
"29803"	""	"20"	""	""	"(28,56,44)"
"29804"	""	"23"	""	""	""
"29805"	""	"19"	""	""	""
"29806"	""	"20"	""	""	"(26)"
"29807"	""	"20"	""	""	"(28,50)"
"29808"	""	"20"	""	""	"(28)"
"29809"	""	"64"	""	""	""
"29810"	""	"20"	""	""	"(28)"
"29811"	""	"23"	""	""	""
"29812"	""	"20"	""	""	"(26)"
"29813"	""	"19"	""	""	""
"29814"	""	"19"	""	""	""
"29815"	""	"20"	""	""	"(28)"
"29816"	""	"20"	""	""	"(26)"
"29817"	""	"20"	""	""	"(28)"
"29818"	""	"20"	""	""	"(28,47)"
"29819"	""	"20"	""	""	"(28)"
"29820"	""	"19"	""	""	""
"29821"	""	"23"	""	""	""
"29822"	""	"20"	""	""	"(26)"
"29823"	""	"20"	""	""	"(26)"
"29824"	""	"19"	""	""	""
"29825"	""	"20"	""	""	"(28)"
"29826"	""	"20"	""	""	"(26)"
"29827"	""	"23"	""	""	""
"29828"	""	"20"	""	""	"(26)"
"29829"	""	"20"	""	""	"(28)"
"29830"	""	"23"	""	""	""
"29831"	""	"20"	""	""	"(28)"
"29832"	""	"19"	""	""	""
"29833"	""	"19"	""	""	""
"29834"	""	"20"	""	""	"(28)"
"29835"	""	"20"	""	""	"(26)"
"29836"	""	"20"	""	""	"(28)"
"29837"	""	"20"	""	""	"(28)"
"29838"	""	"20"	""	""	"(26)"
"29839"	""	"80"	""	""	""
"29840"	""	"20"	""	""	"(26)"
"29841"	""	"19"	""	""	""
"29842"	""	"19"	""	""	""
"29843"	""	"20"	""	""	"(28)"
"29844"	""	"20"	""	""	"(28)"
"29845"	""	"20"	""	""	"(26)"
"29846"	""	"20"	""	""	"(28,44)"
"29847"	""	"20"	""	""	"(26,44)"
"29848"	""	"20"	""	""	"(28)"
"29849"	""	"23"	""	""	""
"29850"	""	"23"	""	""	""
"29851"	""	"20"	""	""	"(26)"
"29852"	""	"63"	""	""	""
"29853"	""	"20"	""	""	"(26)"
"29854"	""	"20"	""	""	"(26)"
"29855"	""	"20"	""	""	"(26)"
"29856"	""	"20"	""	""	"(26)"
"29857"	""	"23"	""	""	""
"29858"	""	"20"	""	""	"(28)"
"29859"	""	"20"	""	""	"(28)"
"29860"	""	"63"	""	""	"(90)"
"29861"	""	"20"	""	""	"(26)"
"29862"	""	"63"	""	""	"(90)"
"29863"	""	"20"	""	""	"(28)"
"29864"	""	"23"	""	""	""
"29865"	""	"20"	""	""	"(28)"
"29866"	""	"20"	""	""	"(26)"
"29867"	""	"20"	""	""	"(26,44)"
"29868"	""	"20"	""	""	"(26)"
"29869"	""	"20"	""	""	"(28)"
"29870"	""	"20"	""	""	"(28)"
"29871"	""	"23"	""	""	""
"29872"	""	"20"	""	""	"(28)"
"29873"	""	"20"	""	""	"(28,131)"
"29874"	""	"19"	""	""	""
"29875"	""	"20"	""	""	"(26)"
"29876"	""	"20"	""	""	"(28)"
"29877"	""	"23"	""	""	""
"29878"	""	"23"	""	""	""
"29879"	""	"77"	""	""	""
"29880"	""	"23"	""	""	""
"29881"	""	"95"	""	""	""
"29882"	""	"23"	""	""	""
"29883"	""	"20"	""	""	"(28)"
"29884"	""	"20"	""	""	"(28)"
"29885"	""	"19"	""	""	""
"29886"	""	"19"	""	""	""
"29887"	""	"20"	""	""	"(26)"
"29888"	""	"19"	""	""	""
"29889"	""	"20"	""	""	"(28,55,188,131,72)"
"29890"	""	"20"	""	""	"(28)"
"29891"	""	"20"	""	""	"(28,107)"
"29892"	""	"20"	""	""	"(26)"
"29893"	""	"81"	""	""	""
"29894"	""	"20"	""	""	"(28)"
"29895"	""	"80"	""	""	""
"29896"	""	"20"	""	""	"(28,55)"
"29897"	""	"20"	""	""	"(26)"
"29898"	""	"20"	""	""	"(28)"
"29900"	""	"20"	""	""	"(26)"
"29903"	""	"20"	""	""	"(26)"
"29904"	""	"20"	""	""	"(26)"
"29907"	""	"20"	""	""	"(26)"
"29908"	""	"19"	""	""	""
"29911"	""	"23"	""	""	""
"29912"	""	"19"	""	""	""
"29915"	""	"20"	""	""	"(28,55)"
"29916"	""	"20"	""	""	"(26)"
"29917"	""	"20"	""	""	"(26)"
"29918"	""	"23"	""	""	""
"29919"	""	"23"	""	""	""
"29921"	""	"20"	""	""	"(26)"
"29922"	""	"20"	""	""	"(26)"
"29923"	""	"23"	""	""	""
"29924"	""	"20"	""	""	"(28)"
"29925"	""	"23"	""	""	""
"29927"	""	"19"	""	""	""
"29928"	""	"23"	""	""	""
"29929"	""	"20"	""	""	"(28)"
"29933"	""	"20"	""	""	"(26)"
"29934"	""	"20"	""	""	"(26)"
"29935"	""	"20"	""	""	"(26)"
"29936"	"(6)"	"20"	""	""	"(28)"
"29937"	""	"20"	""	""	"(26)"
"29939"	""	"20"	""	""	"(28)"
"29940"	""	"23"	""	""	""
"29941"	""	"20"	""	""	"(26)"
"29942"	""	"20"	""	""	"(28)"
"29943"	""	"19"	""	""	""
"29944"	""	"23"	""	""	""
"29945"	""	"23"	""	""	""
"29946"	""	"20"	""	""	"(28)"
"29948"	""	"23"	""	""	""
"29949"	""	"23"	""	""	""
"29950"	""	"23"	""	""	""
"29951"	""	"23"	""	""	""
"29952"	""	"20"	""	""	"(28)"
"29953"	""	"20"	""	""	"(26)"
"29954"	""	"20"	""	""	"(28,50)"
"29955"	""	"20"	""	""	"(28,182)"
"29956"	""	"20"	""	""	"(26)"
"29957"	""	"20"	""	""	"(26)"
"29958"	""	"20"	""	""	"(28)"
"29959"	""	"23"	""	""	""
"29960"	""	"23"	""	""	""
"29961"	""	"20"	""	""	"(28)"
"29962"	""	"20"	""	""	"(28,130,136)"
"29964"	""	"20"	""	""	"(26)"
"29965"	""	"20"	""	""	"(26)"
"29966"	""	"19"	""	""	""
"29967"	""	"20"	""	""	"(26)"
"29968"	""	"20"	""	""	"(28)"
"29970"	""	"23"	""	""	""
"29971"	""	"20"	""	""	"(26)"
"29972"	""	"19"	""	""	""
"29974"	""	"20"	""	""	"(26)"
"29975"	""	"20"	""	""	"(26)"
"29976"	""	"19"	""	""	""
"29977"	""	"19"	""	""	""
"29978"	""	"20"	""	""	"(26)"
"29979"	""	"20"	""	""	"(26)"
"29980"	""	"20"	""	""	"(28)"
"29981"	""	"20"	""	""	"(26)"
"29982"	""	"23"	""	""	""
"29983"	""	"19"	""	""	""
"29984"	""	"20"	""	""	"(26,47)"
"29985"	""	"23"	""	""	""
"29986"	""	"23"	""	""	""
"29990"	""	"23"	""	""	""
"29991"	""	"23"	""	""	""
"29992"	""	"20"	""	""	"(26)"
"29993"	""	"20"	""	""	"(26)"
"29994"	""	"23"	""	""	""
"29995"	""	"23"	""	""	""
"29996"	""	"23"	""	""	""
"29997"	""	"23"	""	""	""
"29998"	""	"20"	""	""	"(28)"
"29999"	""	"20"	""	""	"(28)"
"30002"	""	"20"	""	""	"(28)"
"30003"	""	"23"	""	""	""
"30004"	""	"19"	""	""	""
"30005"	""	"20"	""	""	"(26)"
"30006"	""	"20"	""	""	"(26)"
"30007"	""	"23"	""	""	""
"30008"	""	"63"	""	""	""
"30009"	""	"20"	""	""	"(26,43)"
"30010"	""	"23"	""	""	""
"30011"	""	"20"	""	""	"(28)"
"30012"	""	"19"	""	""	""
"30014"	""	"20"	""	""	"(26)"
"30016"	""	"20"	""	""	"(28)"
"30017"	""	"23"	""	""	""
"30018"	""	"23"	""	""	""
"30019"	""	"20"	""	""	"(28,56)"
"30021"	""	"20"	""	""	"(28)"
"30022"	""	"23"	""	""	""
"30023"	""	"23"	""	""	"(37)"
"30024"	""	"23"	""	""	""
"30027"	""	"20"	""	""	"(26)"
"30028"	""	"20"	""	""	"(28,44)"
"30030"	""	"19"	""	""	""
"30031"	""	"23"	""	""	""
"30033"	""	"20"	""	""	"(28)"
"30035"	""	"20"	""	""	"(28)"
"30036"	""	"20"	""	""	"(28)"
"30037"	""	"20"	""	""	"(26)"
"30039"	""	"20"	""	""	"(28)"
"30040"	""	"20"	""	""	"(28,55)"
"30041"	""	"20"	""	""	"(28)"
"30042"	""	"23"	""	""	""
"30044"	""	"20"	""	""	"(28)"
"30045"	""	"20"	""	""	"(28)"
"30047"	""	"20"	""	""	"(28)"
"30048"	""	"20"	""	""	"(28)"
"30049"	""	"23"	""	""	""
"30050"	""	"23"	""	""	""
"30051"	""	"20"	""	""	"(26)"
"30052"	""	"20"	""	""	"(26)"
"30053"	""	"20"	""	""	"(28)"
"30054"	""	"20"	""	""	"(26)"
"30055"	""	"23"	""	""	""
"30057"	""	"23"	""	""	""
"30059"	""	"23"	""	""	""
"30060"	""	"23"	""	""	""
"30061"	""	"23"	""	""	""
"30062"	""	"23"	""	""	""
"30063"	""	"23"	""	""	""
"30064"	""	"23"	""	""	""
"30065"	""	"20"	""	""	"(28)"
"30066"	""	"23"	""	""	""
"30067"	""	"20"	""	""	"(26)"
"30068"	""	"23"	""	""	""
"30069"	""	"23"	""	""	""
"30070"	""	"23"	""	""	""
"30071"	""	"20"	""	""	"(28)"
"30072"	""	"20"	""	""	"(26)"
"30073"	""	"23"	""	""	""
"30074"	""	"20"	""	""	"(28)"
"30075"	""	"20"	""	""	"(28)"
"30076"	"(10)"	"23"	""	""	""
"30078"	""	"20"	""	""	"(26)"
"30079"	""	"19"	""	""	""
"30080"	""	"20"	""	""	"(28)"
"30081"	""	"20"	""	""	"(28)"
"30082"	""	"230"	""	""	"(47)"
"30083"	""	"23"	""	""	""
"30087"	""	"20"	""	""	"(28)"
"30088"	""	"20"	""	""	"(26)"
"30089"	""	"19"	""	""	""
"30090"	""	"20"	""	""	"(26)"
"30091"	""	"20"	""	""	"(28)"
"30092"	""	"20"	""	""	"(28)"
"30093"	""	"20"	""	""	"(28)"
"30094"	""	"20"	""	""	"(28)"
"30095"	""	"20"	""	""	"(26)"
"30097"	""	"20"	""	""	"(28)"
"30098"	""	"23"	""	""	"(37)"
"30099"	""	"20"	""	""	"(28)"
"30101"	""	"20"	""	""	"(28)"
"30102"	""	"23"	""	""	""
"30105"	""	"20"	""	""	"(28)"
"30106"	""	"20"	""	""	"(28)"
"30108"	""	"20"	""	""	"(28)"
"30109"	""	"20"	""	""	"(26)"
"30110"	""	"20"	""	""	"(28)"
"30111"	""	"20"	""	""	"(26)"
"30112"	""	"23"	""	""	""
"30113"	""	"23"	""	""	""
"30116"	""	"20"	""	""	"(28)"
"30117"	""	"20"	""	""	"(28)"
"30118"	"(10)"	"20"	""	""	"(28)"
"30119"	""	"20"	""	""	"(26)"
"30120"	""	"20"	""	""	"(26)"
"30123"	""	"23"	""	""	""
"30124"	"(6)"	"20"	""	""	"(28)"
"30126"	""	"23"	""	""	""
"30127"	""	"23"	""	""	""
"30128"	"(6)"	"19"	""	""	""
"30129"	""	"20"	""	""	"(28,55)"
"30130"	""	"20"	""	""	"(26,56)"
"30131"	"(61)"	"23"	""	""	""
"30135"	""	"23"	""	""	""
"30139"	""	"23"	""	""	""
"30141"	"(160)"	"20"	""	""	"(28)"
"30142"	""	"23"	""	""	""
"30145"	""	"20"	""	""	"(28)"
"30146"	""	"23"	""	""	""
"30147"	""	"20"	""	""	"(26)"
"30148"	""	"20"	""	""	"(28)"
"30149"	""	"20"	""	""	"(28)"
"30150"	""	"23"	""	""	""
"30151"	""	"20"	""	""	"(26)"
"30152"	""	"20"	""	""	"(28)"
"30153"	""	"20"	""	""	"(26,47)"
"30154"	""	"20"	""	""	"(26)"
"30156"	""	"23"	""	""	""
"30157"	""	"23"	""	""	""
"30160"	""	"20"	""	""	"(28)"
"30162"	""	"20"	""	""	"(28)"
"30163"	""	"23"	""	""	""
"30165"	""	"23"	""	""	""
"30166"	""	"23"	""	""	""
"30168"	""	"20"	""	""	"(26)"
"30171"	""	"19"	""	""	""
"30173"	""	"20"	""	""	"(26)"
"30174"	""	"20"	""	""	"(28)"
"30176"	""	"23"	""	""	""
"30178"	""	"19"	""	""	""
"30179"	""	"23"	""	""	""
"30180"	""	"23"	""	""	""
"30183"	""	"23"	""	""	""
"30184"	""	"23"	""	""	""
"30185"	""	"23"	""	""	""
"30186"	""	"20"	""	""	"(26)"
"30187"	""	"23"	""	""	""
"30188"	""	"20"	""	""	"(26)"
"30189"	""	"20"	""	""	"(28)"
"30190"	""	"20"	""	""	"(28)"
"30192"	""	"23"	""	""	""
"30193"	""	"20"	""	""	"(26)"
"30195"	"(10)"	"23"	""	""	""
"30196"	"(10)"	"23"	""	""	""
"30197"	""	"24"	""	""	""
"30199"	""	"24"	""	""	""
"30202"	"(6)"	"23"	""	""	""
"30203"	""	"20"	""	""	"(26)"
"30204"	""	"23"	""	""	""
