"source"	"lf"	"target"	"form"	"separator"	"merged"	"syntacticframe"	"constraint"	"position"
"26201"	"61"	"29450"	""	","	"0"	""	""	"1"
"26202"	"4"	"26390"	""	","	"0"	""	""	"1"
"26203"	"21"	"52687"	""	","	"0"	""	""	"1"
"26203"	"330"	"52678"	""	","	"0"	""	""	"1"
"26203"	"3"	"43195"	""	","	"0"	""	""	"1"
"26203"	"3"	"45214"	""	","	"0"	""	""	"2"
"26204"	"21"	"31411"	""	","	"0"	""	""	"1"
"26204"	"111"	"31422"	"administrable"	","	"0"	""	""	"1"
"26204"	"31"	"31416"	""	","	"0"	""	""	"1"
"26205"	"21"	"30533"	"admiration"	","	"0"	""	""	"1"
"26205"	"31"	"31475"	"admiratrice"	","	"0"	""	""	"1"
"26205"	"31"	"31474"	"admirateur"	","	"0"	""	""	"2"
"26205"	"104"	"31447"	"admiratif"	","	"0"	""	""	"1"
"26205"	"112"	"31467"	"admirable"	","	"0"	""	""	"1"
"26206"	"104"	"31487"	"adolescent"	","	"0"	""	""	"1"
"26206"	"387"	"31489"	"adolescente"	","	"0"	""	""	"1"
"26206"	"387"	"32916"	""	","	"0"	""	""	"2"
"26206"	"28"	"32919"	""	","	"0"	""	""	"1"
"26206"	"2"	"31485"	""	","	"0"	""	""	"1"
"26207"	"21"	"31500"	""	","	"0"	""	""	"1"
"26207"	"111"	"31501"	""	","	"0"	""	""	"1"
"26207"	"104"	"31503"	""	","	"0"	""	""	"1"
"26207"	"31"	"31504"	""	","	"0"	""	""	"1"
"26207"	"31"	"31506"	""	","	"0"	""	""	"2"
"26207"	"407"	"32908"	""	","	"0"	""	""	"1"
"26207"	"407"	"32914"	""	","	"0"	""	""	"2"
"26207"	"358"	"31507"	""	","	"0"	""	""	"1"
"26207"	"330"	"31509"	""	","	"0"	""	""	"1"
"26208"	"13"	"49541"	""	","	"0"	""	""	"1"
"26209"	"21"	"30536"	""	","	"0"	""	""	"1"
"26209"	"611"	"31516"	"adoratif"	","	"0"	""	""	"1"
"26209"	"31"	"49551"	""	","	"0"	""	""	"1"
"26209"	"31"	"49555"	""	","	"0"	""	""	"2"
"26210"	"5"	"47161"	""	","	"0"	""	""	"1"
"26211"	"3"	"35179"	""	","	"0"	""	""	"1"
"26212"	"10"	"31524"	"maladroit"	","	"0"	""	""	"1"
"26212"	"29"	"31525"	"adroitement"	","	"0"	""	""	"1"
"26212"	"3"	"27783"	""	","	"0"	""	""	"1"
"26213"	"594"	"31526"	""	","	"0"	""	""	"1"
"26213"	"594"	"31727"	""	","	"0"	""	""	"2"
"26213"	"3"	"39192"	""	","	"0"	""	""	"1"
"26214"	"28"	"31522"	"adverse"	","	"0"	""	""	"1"
"26214"	"387"	"32548"	""	","	"0"	""	""	"1"
"26214"	"3"	"27309"	""	","	"0"	""	""	"1"
"26215"	"28"	"31522"	""	","	"0"	""	""	"1"
"26216"	"28"	"31440"	"aéroportuaire"	","	"0"	""	""	"1"
"26216"	"3"	"34721"	""	","	"0"	""	""	"1"
"26216"	"40"	"26431"	""	","	"0"	""	""	"1"
"26217"	"9"	"31448"	"s’affaiblir"	","	"0"	""	""	"1"
"26217"	"104"	"31450"	""	","	"0"	""	""	"1"
"26217"	"69"	"32064"	""	","	"0"	""	""	"1"
"26217"	"330"	"32638"	""	","	"0"	""	""	"1"
"26217"	"3"	"35662"	""	","	"0"	""	""	"1"
"26218"	"3"	"46147"	""	","	"0"	""	""	"1"
"26219"	"23"	"31452"	""	","	"0"	""	""	"1"
"26219"	"104"	"31469"	"affectueux"	","	"0"	""	""	"1"
"26219"	"161"	"39988"	""	","	"0"	"(ART) ~"	""	"1"
"26219"	"161"	"31466"	""	","	"1"	""	""	"2"
"26220"	"138"	"33608"	""	","	"1"	""	""	"1"
"26220"	"228"	"26221"	""	","	"1"	"N=Z sur Y"	""	"1"
"26221"	"21"	"31472"	"affichage"	","	"0"	""	""	"1"
"26221"	"30"	"31478"	"afficheuse"	","	"0"	""	""	"1"
"26221"	"30"	"31476"	"afficheur"	","	"0"	""	""	"2"
"26221"	"330"	"33609"	""	","	"0"	""	""	"1"
"26221"	"40"	"26220"	""	","	"0"	""	""	"1"
"26222"	"21"	"31482"	"affirmation"	","	"0"	""	""	"1"
"26222"	"31"	"31499"	"affirmateur"	","	"0"	""	""	"1"
"26222"	"104"	"33613"	""	","	"0"	""	""	"1"
"26222"	"3"	"26373"	""	","	"0"	""	""	"1"
"26222"	"3"	"51172"	""	","	"0"	""	""	"2"
"26223"	"330"	"31505"	"affolé"	","	"0"	""	""	"1"
"26223"	"104"	"31508"	"affolant"	","	"0"	""	""	"1"
"26223"	"9"	"31928"	"s’affoler"	","	"0"	""	""	"1"
"26223"	"3"	"51426"	""	","	"0"	""	""	"1"
"26223"	"3"	"48468"	""	"<"	"0"	""	""	"2"
"26224"	"4"	"28387"	""	","	"0"	""	""	"1"
"26224"	"3"	"49577"	""	","	"0"	""	""	"1"
"26225"	"3"	"27950"	""	","	"0"	""	""	"1"
