"source"	"lf"	"target"	"form"	"separator"	"merged"	"syntacticframe"	"constraint"	"position"
"30571"	"59"	"26941"	"courrier"	";"	"0"	""	""	"1"
"30571"	"40"	"27486"	""	","	"0"	""	""	"1"
"30571"	"40"	"32054"	""	","	"0"	""	""	"2"
"30571"	"2"	"47476"	""	","	"0"	""	""	"1"
"30571"	"3"	"47529"	""	","	"0"	""	""	"1"
"30571"	"60"	"31779"	""	","	"0"	""	""	"1"
"30571"	"60"	"26815"	""	";"	"0"	""	""	"2"
"30571"	"60"	"31783"	""	","	"0"	""	""	"3"
"30571"	"510"	"29130"	""	","	"0"	"ART N=$3 dans ART ~ "	""	"1"
"30571"	"510"	"26434"	""	";"	"0"	"ART N=$3 dans ART ~ "	""	"2"
"30571"	"510"	"28937"	""	";"	"0"	"ART N=$3 dans ART ~ "	""	"3"
"30571"	"510"	"47530"	""	","	"0"	"ART N=$3 dans ART ~ "	""	"4"
"30571"	"510"	"29149"	""	","	"0"	"ART N=$3 dans ART ~ "	""	"5"
"30571"	"510"	"47531"	""	","	"0"	"ART N=$3 dans ART ~ "	""	"6"
"30571"	"476"	"29827"	""	","	"0"	"ART ~ "	""	"1"
"30571"	"165"	"26993"	""	","	"0"	"ART ~ "	""	"1"
"30571"	"858"	"27071"	""	","	"0"	"N=$3 dans ART ~ "	""	"1"
"30571"	"858"	"47546"	""	","	"0"	"N=$3 dans ART ~ "	""	"2"
"30571"	"858"	"28341"	""	","	"0"	"N=$3 dans ART ~ "	""	"3"
"30572"	"104"	"31724"	""	"<"	"0"	"de ~"	""	"1"
"30572"	"13"	"36762"	""	","	"0"	""	""	"1"
"30573"	"161"	"40629"	""	","	"0"	"la ~"	""	"1"
"30578"	"8"	"33202"	""	","	"0"	""	""	"1"
"30579"	"387"	"35100"	""	","	"0"	""	""	"1"
"30580"	"387"	"31774"	""	","	"0"	""	""	"1"
"30581"	"5"	"53340"	""	","	"1"	""	""	"1"
"30581"	"13"	"32987"	""	","	"0"	""	""	"1"
"30582"	"3"	"50174"	""	","	"0"	""	""	"1"
"30583"	"3"	"30914"	""	","	"0"	""	""	"1"
"30583"	"3"	"30941"	""	";"	"0"	""	""	"2"
"30584"	"10"	"28661"	""	","	"0"	""	""	"1"
"30584"	"23"	"52903"	""	","	"0"	""	""	"1"
"30585"	"3"	"30963"	""	","	"0"	""	""	"1"
"30586"	"3"	"50526"	""	","	"0"	""	""	"1"
"30587"	"21"	"30565"	""	","	"0"	""	""	"1"
"30587"	"447"	"36593"	""	","	"0"	""	""	"1"
"30587"	"4"	"27089"	""	","	"0"	""	""	"1"
"30588"	"23"	"50160"	""	","	"0"	""	""	"1"
"30590"	"20"	"28605"	""	","	"0"	""	""	"1"
"30591"	"37"	"29268"	""	","	"0"	""	""	"1"
"30592"	"3"	"29448"	""	","	"0"	""	""	"1"
"30593"	"3"	"27396"	""	","	"0"	""	""	"1"
"30594"	"37"	"29444"	""	","	"0"	""	""	"1"
"30594"	"37"	"27479"	""	";"	"0"	""	""	"2"
"30595"	"3"	"53249"	""	","	"0"	""	""	"1"
"30595"	"3"	"48807"	""	";"	"0"	""	""	"2"
"30595"	"3"	"48570"	""	","	"0"	""	""	"3"
"30596"	"3"	"27271"	""	","	"0"	""	""	"1"
"30596"	"20"	"39295"	""	","	"0"	""	""	"1"
"30596"	"905"	"45253"	""	","	"0"	"sur N"	""	"1"
"30597"	"3"	"53251"	""	","	"0"	""	""	"1"
"30598"	"3"	"44065"	""	","	"0"	""	""	"1"
"30598"	"3"	"30603"	""	","	"0"	""	""	"2"
"30598"	"3"	"30604"	""	","	"0"	""	""	"3"
"30599"	"3"	"30693"	""	","	"0"	""	""	"1"
"30599"	"3"	"53692"	""	","	"0"	""	""	"2"
"30600"	"228"	"28021"	""	","	"0"	"l’~"	""	"1"
"30601"	"20"	"39295"	""	","	"0"	"d’ ~ "	""	"1"
"30601"	"161"	"39988"	""	","	"0"	"~"	""	"1"
"30601"	"3"	"30850"	""	","	"0"	""	""	"1"
"30601"	"3"	"27791"	""	";"	"0"	""	""	"2"
"30602"	"20"	"27527"	""	","	"0"	""	""	"1"
"30603"	"3"	"35651"	""	","	"0"	""	""	"1"
"30603"	"3"	"30604"	""	","	"0"	""	""	"2"
"30603"	"3"	"30598"	""	","	"0"	""	""	"3"
"30603"	"3"	"44065"	""	","	"0"	""	""	"4"
"30604"	"3"	"30598"	""	","	"0"	""	""	"1"
"30605"	"3"	"51511"	""	","	"0"	""	""	"1"
"30605"	"3"	"51510"	""	","	"0"	""	""	"2"
"30605"	"3"	"51433"	""	";"	"0"	""	""	"3"
"30605"	"905"	"45253"	""	","	"0"	"sur N"	""	"1"
"30606"	"23"	"26366"	""	","	"0"	""	""	"1"
"30606"	"4"	"30965"	""	","	"0"	""	""	"1"
"30606"	"3"	"28343"	""	","	"0"	""	""	"1"
"30606"	"3"	"30847"	""	","	"0"	""	""	"2"
"30606"	"20"	"51458"	""	","	"0"	""	""	"1"
"30606"	"20"	"26968"	""	","	"0"	""	""	"2"
"30607"	"3"	"26182"	""	","	"0"	""	""	"1"
"30608"	"3"	"33239"	""	","	"0"	""	""	"1"
"30608"	"115"	"38797"	"bonne"	","	"0"	""	"antépos"	"1"
"30608"	"115"	"39194"	"grande"	","	"0"	""	"antépos"	"2"
"30608"	"115"	"43078"	"grosse"	","	"0"	""	"antépos"	"3"
"30608"	"115"	"42858"	"copieuse"	","	"0"	""	"postpos"	"4"
"30608"	"228"	"28235"	""	","	"0"	"ART ~"	""	"1"
"30608"	"715"	"43089"	""	","	"0"	"ART ~"	""	"1"
"30608"	"715"	"29615"	""	","	"0"	"ART ~"	""	"2"
"30608"	"715"	"43092"	""	","	"0"	"ART ~"	""	"3"
"30608"	"63"	"26369"	""	","	"0"	""	""	"1"
"30611"	"30"	"43039"	""	","	"0"	""	""	"1"
"30611"	"30"	"43047"	""	","	"0"	""	""	"2"
"30612"	"3"	"30553"	""	","	"0"	""	""	"1"
"30612"	"5"	"51433"	""	","	"0"	""	""	"1"
"30613"	"23"	"26428"	""	","	"0"	""	""	"1"
"30613"	"3"	"26881"	""	","	"0"	""	""	"1"
"30615"	"8"	"38246"	""	","	"0"	""	""	"1"
"30616"	"3"	"35336"	""	","	"0"	""	""	"1"
"30617"	"3"	"39987"	""	","	"0"	""	""	"1"
"30617"	"3"	"48618"	""	","	"0"	""	""	"2"
"30617"	"3"	"40053"	""	","	"0"	""	""	"3"
"30617"	"3"	"53315"	""	","	"0"	""	""	"4"
"30618"	"3"	"27319"	""	","	"0"	""	""	"1"
"30619"	"63"	"49949"	""	","	"0"	""	""	"1"
"30619"	"20"	"49769"	""	","	"0"	""	""	"1"
"30620"	"10"	"42246"	""	","	"0"	""	""	"1"
"30621"	"3"	"30656"	""	","	"0"	""	""	"1"
"30622"	"3"	"48411"	""	","	"0"	""	""	"1"
"30623"	"3"	"26732"	""	","	"0"	""	""	"1"
"30623"	"145"	"40650"	""	","	"0"	""	""	"1"
"30623"	"145"	"53411"	""	";"	"0"	""	""	"2"
"30623"	"155"	"40651"	""	","	"0"	""	""	"1"
"30626"	"52"	"26216"	""	","	"0"	""	""	"1"
"30627"	"3"	"27919"	""	","	"0"	""	""	"1"
"30628"	"31"	"26401"	""	","	"0"	"de ART ~s"	""	"1"
"30628"	"31"	"47165"	""	","	"0"	"de ART ~s"	""	"2"
"30629"	"3"	"30497"	""	","	"0"	""	""	"1"
"30629"	"3"	"32789"	""	","	"0"	""	""	"2"
"30630"	"28"	"27168"	""	","	"0"	""	""	"1"
"30630"	"3"	"53839"	""	","	"0"	""	""	"1"
"30631"	"4"	"52165"	""	","	"0"	""	""	"1"
"30631"	"3"	"30342"	""	","	"0"	""	""	"1"
"30632"	"3"	"27497"	""	","	"0"	""	""	"1"
"30633"	"4"	"35035"	""	","	"0"	""	""	"1"
"30633"	"3"	"51766"	""	","	"0"	""	""	"1"
"30633"	"3"	"52615"	""	","	"0"	""	""	"2"
"30633"	"3"	"33249"	""	","	"0"	""	""	"3"
"30634"	"3"	"28062"	""	","	"0"	""	""	"1"
"30635"	"3"	"30732"	""	","	"0"	""	""	"1"
"30636"	"3"	"51131"	""	","	"0"	""	""	"1"
"30637"	"3"	"49276"	""	","	"0"	""	""	"1"
"30638"	"23"	"29471"	""	","	"0"	""	""	"1"
"30639"	"3"	"44402"	""	","	"0"	""	""	"1"
"30640"	"23"	"29472"	""	","	"0"	""	""	"1"
"30641"	"4"	"26576"	""	","	"0"	""	""	"1"
"30642"	"3"	"30586"	""	","	"0"	""	""	"1"
"30645"	"52"	"29924"	""	","	"0"	""	""	"1"
"30646"	"3"	"50376"	""	","	"0"	""	""	"1"
"30650"	"2"	"48869"	""	","	"0"	""	""	"1"
"30650"	"2"	"48878"	""	","	"0"	""	""	"2"
"30650"	"31"	"31743"	""	","	"0"	""	""	"1"
"30650"	"31"	"31745"	""	","	"0"	""	""	"2"
"30651"	"2"	"48881"	""	","	"0"	""	""	"1"
"30651"	"2"	"49011"	""	","	"0"	""	""	"2"
"30651"	"168"	"39134"	""	","	"0"	"ART ~"	""	"1"
"30651"	"126"	"38724"	""	","	"0"	""	"antepos"	"1"
"30652"	"3"	"28836"	""	","	"0"	""	""	"1"
"30652"	"28"	"54115"	""	","	"0"	""	""	"1"
"30652"	"104"	"54116"	""	","	"0"	""	""	"1"
"30652"	"161"	"54117"	""	","	"0"	""	""	"1"
"30653"	"8"	"30772"	""	","	"0"	""	""	"1"
"30653"	"31"	"34435"	""	","	"0"	""	""	"1"
"30653"	"31"	"34436"	""	","	"0"	""	""	"2"
"30653"	"37"	"33489"	""	","	"0"	""	""	"1"
"30653"	"37"	"33490"	""	","	"0"	""	""	"2"
"30654"	"31"	"32020"	""	","	"0"	"de ART ~ "	""	"1"
"30654"	"168"	"33677"	""	","	"0"	"à ART ~ "	""	"1"
"30654"	"168"	"38628"	""	","	"0"	"de ART ~ "	""	"2"
"30655"	"104"	"30178"	""	","	"0"	""	""	"1"
"30655"	"31"	"54118"	""	","	"0"	""	""	"1"
"30655"	"31"	"54119"	""	","	"0"	""	""	"2"
"30656"	"3"	"30621"	""	","	"0"	""	""	"1"
"30657"	"380"	"27831"	""	","	"0"	""	""	"1"
"30658"	"3"	"33965"	""	","	"0"	""	""	"1"
"30658"	"3"	"51054"	""	","	"0"	""	""	"2"
"30659"	"4"	"47640"	""	","	"0"	""	""	"1"
"30660"	"3"	"45041"	""	","	"0"	""	""	"1"
"30661"	"3"	"51498"	""	","	"0"	""	""	"1"
"30661"	"3"	"39987"	""	";"	"0"	""	""	"2"
"30662"	"387"	"42164"	""	","	"0"	""	""	"1"
"30662"	"4"	"32015"	""	","	"0"	""	""	"1"
"30662"	"20"	"39861"	""	","	"0"	""	""	"1"
"30662"	"52"	"42226"	""	","	"0"	""	""	"1"
"30662"	"52"	"27570"	""	";"	"0"	""	""	"2"
"30662"	"52"	"42225"	""	";"	"0"	""	""	"3"
"30662"	"52"	"28775"	""	";"	"0"	""	""	"4"
"30662"	"306"	"27480"	""	","	"0"	"N=$2"	""	"1"
"30662"	"684"	"32010"	""	","	"0"	"de N=$2"	""	"1"
"30662"	"684"	"30667"	""	","	"0"	"de N=$2"	""	"2"
"30671"	"3"	"26959"	""	","	"0"	""	""	"1"
"30671"	"30"	"35967"	""	","	"0"	""	""	"1"
"30671"	"30"	"35970"	""	","	"0"	""	""	"2"
"30671"	"104"	"35960"	""	","	"0"	""	""	"1"
"30672"	"104"	"37317"	""	","	"0"	""	""	"1"
"30674"	"3"	"51214"	""	","	"0"	""	""	"1"
"30675"	"3"	"34855"	""	","	"0"	""	""	"1"
"30676"	"5"	"27919"	""	","	"0"	""	""	"1"
"30676"	"5"	"54464"	""	","	"0"	""	""	"2"
"30678"	"3"	"41886"	""	","	"0"	""	""	"1"
"30679"	"3"	"50668"	""	","	"0"	""	""	"1"
"30680"	"104"	"28825"	""	","	"0"	"de ~"	""	"1"
"30680"	"104"	"31451"	""	","	"0"	"de ~"	""	"2"
"30680"	"161"	"39988"	""	","	"0"	"~"	""	"1"
"30684"	"3"	"30919"	""	","	"0"	""	""	"1"
"30684"	"3"	"50631"	""	","	"0"	""	""	"2"
"30684"	"10"	"52873"	""	","	"0"	""	""	"1"
"30684"	"20"	"39295"	""	","	"0"	"de ~ "	""	"1"
"30684"	"104"	"28293"	""	","	"0"	""	""	"1"
"30685"	"20"	"30953"	""	","	"0"	"d’~ "	""	"1"
"30685"	"20"	"34571"	""	";"	"0"	"d’~ "	""	"2"
"30685"	"20"	"30567"	""	","	"0"	"d’~ "	""	"3"
"30685"	"23"	"27289"	""	","	"0"	""	""	"1"
"30685"	"3"	"34572"	""	","	"0"	""	""	"1"
"30685"	"3"	"34573"	""	","	"0"	""	""	"2"
"30685"	"3"	"34594"	""	","	"0"	""	""	"3"
"30685"	"3"	"34596"	""	","	"0"	""	""	"4"
"30685"	"27"	"34584"	"Allez !"	","	"0"	""	""	"1"
"30685"	"27"	"34585"	"Vas-y !"	","	"0"	""	""	"2"
"30686"	"23"	"34600"	""	","	"0"	""	""	"1"
"30686"	"3"	"34589"	""	","	"0"	""	""	"1"
"30686"	"3"	"34593"	""	","	"0"	""	""	"2"
"30686"	"3"	"34579"	""	","	"0"	""	""	"3"
"30686"	"3"	"34583"	""	","	"0"	""	""	"4"
"30686"	"3"	"34592"	""	";"	"0"	""	""	"5"
"30689"	"3"	"54088"	""	","	"0"	""	""	"1"
"30689"	"3"	"53916"	""	","	"0"	""	""	"2"
"30690"	"3"	"53917"	""	","	"0"	""	""	"1"
"30690"	"3"	"54090"	""	","	"0"	""	""	"2"
"30691"	"4"	"47032"	""	","	"0"	""	""	"1"
"30692"	"3"	"29664"	""	","	"0"	""	""	"1"
"30693"	"37"	"26712"	""	","	"0"	""	""	"1"
"30693"	"3"	"30599"	""	","	"0"	""	""	"1"
"30695"	"3"	"30830"	""	","	"0"	"de sucre#a"	""	"1"
"30698"	"26"	"50850"	""	","	"0"	""	""	"1"
"30699"	"3"	"47332"	""	","	"0"	""	""	"1"
"30702"	"3"	"28420"	""	","	"0"	""	""	"1"
"30703"	"3"	"26894"	""	","	"0"	""	""	"1"
"30704"	"52"	"51145"	""	","	"0"	""	""	"1"
"30705"	"3"	"39063"	""	","	"0"	""	""	"1"
"30706"	"332"	"51135"	""	","	"0"	""	""	"1"
"30707"	"4"	"27968"	""	","	"0"	""	""	"1"
"30707"	"310"	"27452"	""	","	"0"	"N=Y au ~ "	""	"1"
"30707"	"310"	"29161"	""	","	"0"	"N=Y au ~ "	""	"2"
"30712"	"2"	"34326"	""	","	"0"	""	""	"1"
"30712"	"228"	"28235"	""	","	"0"	"ART ~"	""	"1"
"30713"	"31"	"33587"	""	","	"0"	"de ART ~"	""	"1"
"30713"	"31"	"33586"	""	","	"0"	"de ART ~"	""	"2"
"30713"	"31"	"33588"	""	";"	"1"	""	""	"3"
"30714"	"4"	"28423"	""	","	"0"	""	""	"1"
"30717"	"3"	"34429"	""	","	"0"	""	""	"1"
"30717"	"3"	"41418"	""	","	"0"	""	""	"2"
"30717"	"3"	"41558"	""	","	"0"	""	""	"3"
"30717"	"238"	"41449"	""	","	"0"	""	"postpos"	"1"
"30717"	"238"	"41440"	""	","	"0"	""	"postpos"	"2"
"30717"	"245"	"32700"	""	","	"0"	"à ART ~ de N=$2 au sein de ART N=$3"	""	"1"
"30717"	"245"	"27262"	"être élu"	","	"0"	"à ART ~ de N=$2 au sein de ART N=$3"	""	"2"
"30717"	"245"	"28540"	""	","	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"3"
"30717"	"245"	"45088"	""	";"	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"4"
"30717"	"245"	"41599"	""	","	"0"	"de ART ~ de N=$2 au sein de ART N=$3"	""	"5"
"30717"	"228"	"40022"	""	","	"0"	"ART ~ de N=$2 à ART N=$3"	""	"1"
"30717"	"228"	"41554"	""	","	"1"	"à N=$3 en tant que N=$2"	""	"2"
"30717"	"569"	"41472"	""	","	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"1"
"30717"	"569"	"41513"	""	","	"0"	"ART ~ de N=2 au sein de ART N=$3"	""	"2"
"30717"	"569"	"32204"	""	","	"0"	"de ART ~ de N=$2 au sein de ART N=$3"	""	"3"
"30717"	"569"	"41518"	""	","	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"4"
"30717"	"569"	"39435"	""	","	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"5"
"30717"	"659"	"41463"	""	","	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"1"
"30717"	"586"	"41500"	""	","	"0"	""	"postpos"	"1"
"30717"	"586"	"40641"	""	","	"0"	""	"postpos"	"2"
"30717"	"248"	"27262"	""	","	"0"	"N=$1 à ART ~ de N=$2"	""	"1"
"30717"	"247"	"48684"	""	","	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"1"
"30717"	"247"	"41593"	""	","	"0"	"ART ~ de N=$2 au sein de ART N=$3"	""	"2"
"30718"	"3"	"26850"	""	","	"0"	""	""	"1"
"30718"	"3"	"30569"	""	","	"0"	""	""	"2"
"30718"	"3"	"34292"	""	","	"0"	""	""	"3"
"30718"	"23"	"27512"	""	","	"0"	""	""	"1"
"30718"	"27"	"30719"	""	","	"0"	""	""	"1"
"30719"	"3"	"30891"	""	","	"0"	""	""	"1"
"30719"	"3"	"26564"	""	","	"0"	""	""	"2"
"30719"	"3"	"34294"	"Chapeau ! "	","	"0"	""	""	"3"
"30719"	"3"	"30718"	""	";"	"0"	""	""	"4"
"30720"	"20"	"39295"	""	","	"0"	""	""	"1"
"30720"	"40"	"30721"	""	","	"1"	""	""	"1"
"30720"	"161"	"39988"	""	","	"0"	"~"	""	"1"
"30720"	"161"	"34283"	""	","	"1"	""	""	"2"
"30721"	"13"	"30848"	""	","	"0"	""	""	"1"
"30722"	"3"	"28585"	""	","	"0"	""	""	"1"
"30723"	"3"	"50243"	""	","	"0"	""	""	"1"
"30726"	"31"	"27058"	""	","	"0"	""	""	"1"
"30727"	"23"	"28828"	""	","	"0"	""	""	"1"
"30729"	"3"	"53975"	""	","	"0"	""	""	"1"
"30730"	"3"	"41428"	""	","	"0"	""	""	"1"
"30732"	"74"	"34264"	""	","	"0"	"de ~ "	""	"1"
"30732"	"23"	"33597"	""	","	"0"	""	""	"1"
"30732"	"62"	"28062"	""	","	"0"	""	""	"1"
"30732"	"126"	"33602"	""	","	"0"	""	"postpos"	"1"
"30732"	"128"	"33603"	""	","	"0"	""	""	"1"
"30732"	"195"	"33600"	""	","	"0"	""	""	"1"
"30732"	"195"	"33599"	""	","	"0"	""	""	"2"
"30733"	"13"	"26936"	""	","	"0"	""	""	"1"
"30740"	"3"	"40274"	""	","	"0"	""	""	"1"
"30742"	"8"	"29509"	""	","	"0"	""	""	"1"
"30743"	"4"	"46057"	""	","	"0"	""	""	"1"
"30744"	"5"	"27229"	""	","	"0"	""	""	"1"
"30744"	"5"	"32444"	""	","	"0"	""	""	"2"
"30745"	"28"	"34324"	""	","	"0"	""	""	"1"
"30746"	"3"	"38365"	""	","	"0"	""	""	"1"
"30746"	"3"	"40382"	""	","	"0"	""	""	"2"
"30747"	"4"	"34030"	""	","	"0"	""	""	"1"
"30748"	"23"	"28462"	""	","	"0"	""	""	"1"
"30748"	"3"	"52916"	""	","	"0"	""	""	"1"
"30750"	"3"	"27005"	""	","	"0"	""	""	"1"
"30750"	"3"	"41700"	""	","	"0"	""	""	"2"
"30750"	"23"	"34628"	""	","	"0"	""	""	"1"
"30752"	"31"	"28371"	""	","	"0"	""	""	"1"
"30752"	"31"	"41714"	""	","	"0"	""	""	"2"
"30753"	"40"	"28371"	""	","	"0"	""	""	"1"
"30753"	"40"	"41714"	""	","	"0"	""	""	"2"
"30754"	"3"	"34427"	""	","	"0"	""	""	"1"
"30755"	"5"	"53753"	""	","	"0"	""	""	"1"
"30756"	"21"	"30746"	""	","	"0"	""	""	"1"
"30759"	"2"	"27149"	""	","	"0"	""	""	"1"
"30759"	"2"	"34031"	""	","	"0"	""	""	"2"
"30759"	"21"	"30747"	""	","	"0"	""	""	"1"
"30760"	"255"	"26177"	""	","	"0"	"ART ~"	""	"1"
"30760"	"255"	"30184"	""	","	"0"	"à ART ~"	""	"2"
"30760"	"255"	"39243"	""	","	"0"	"à ART ~"	""	"3"
"30761"	"20"	"35197"	""	","	"0"	""	""	"1"
"30763"	"387"	"35847"	""	","	"0"	""	""	"1"
"30763"	"100"	"29934"	""	","	"0"	"de ~s"	""	"1"
"30764"	"3"	"40244"	""	","	"0"	""	""	"1"
"30769"	"16"	"34105"	""	","	"0"	""	""	"1"
"30770"	"168"	"41447"	""	","	"0"	""	""	"1"
"30771"	"20"	"26182"	""	","	"0"	""	""	"1"
"30772"	"8"	"30653"	""	","	"0"	""	""	"1"
"30772"	"59"	"33488"	""	","	"0"	""	""	"1"
"30772"	"59"	"34434"	""	";"	"0"	""	""	"2"
"30773"	"3"	"40891"	""	","	"0"	""	""	"1"
"30773"	"3"	"34263"	""	","	"0"	""	""	"2"
"30773"	"3"	"42929"	""	","	"0"	""	""	"3"
"30773"	"3"	"39836"	""	";"	"0"	""	""	"4"
"30773"	"3"	"30785"	""	","	"0"	""	""	"5"
"30773"	"3"	"46145"	""	";"	"0"	""	""	"6"
"30773"	"19"	"27884"	""	","	"0"	""	""	"1"
"30773"	"19"	"42386"	""	","	"0"	""	""	"2"
"30774"	"3"	"45692"	""	","	"0"	""	""	"1"
"30774"	"3"	"44223"	""	";"	"0"	""	""	"2"
"30774"	"3"	"48458"	""	","	"0"	""	""	"3"
"30774"	"3"	"44199"	""	","	"0"	""	""	"4"
"30774"	"10"	"48459"	""	","	"0"	""	""	"1"
"30774"	"13"	"26565"	""	";"	"0"	""	""	"1"
"30774"	"13"	"44195"	""	";"	"0"	""	""	"2"
"30774"	"13"	"42930"	""	";"	"0"	""	""	"3"
"30775"	"4"	"29053"	""	","	"0"	""	""	"1"
"30775"	"3"	"53354"	""	","	"0"	""	""	"1"
"30775"	"168"	"53356"	""	","	"0"	"ART ~ à N=$3"	""	"1"
"30776"	"20"	"32561"	""	","	"0"	""	""	"1"
"30779"	"3"	"26557"	""	","	"0"	""	""	"1"
"30779"	"3"	"28040"	""	";"	"0"	""	""	"2"
"30779"	"3"	"28056"	""	","	"0"	""	""	"3"
"30780"	"3"	"30841"	""	","	"0"	""	""	"1"
"30781"	"3"	"40401"	""	","	"0"	""	""	"1"
"30782"	"2"	"49202"	""	","	"0"	""	""	"1"
"30784"	"3"	"46345"	""	","	"0"	""	""	"1"
"30785"	"3"	"39836"	""	","	"0"	""	""	"1"
"30785"	"3"	"30773"	""	","	"0"	""	""	"2"
"30786"	"3"	"40626"	""	","	"0"	""	""	"1"
"30786"	"3"	"53279"	""	","	"0"	""	""	"2"
"30788"	"21"	"35707"	""	","	"0"	""	""	"1"
"30790"	"3"	"34772"	""	","	"0"	""	""	"1"
"30790"	"3"	"34773"	""	","	"0"	""	""	"2"
"30790"	"3"	"34775"	""	";"	"0"	""	""	"3"
"30790"	"3"	"34776"	""	","	"0"	""	""	"4"
"30790"	"387"	"34785"	""	","	"0"	""	""	"1"
"30790"	"10"	"30859"	""	","	"0"	""	""	"1"
"30790"	"13"	"34778"	""	","	"0"	""	""	"1"
"30790"	"13"	"34779"	""	","	"0"	""	""	"2"
"30790"	"13"	"34781"	""	","	"0"	""	""	"3"
"30790"	"13"	"34784"	""	","	"0"	""	""	"4"
"30790"	"306"	"34786"	""	","	"0"	"N=$2"	""	"1"
"30790"	"306"	"34787"	""	","	"0"	"contre N=$2"	""	"2"
"30790"	"306"	"34788"	""	";"	"0"	"à N=$2"	""	"3"
"30790"	"306"	"34769"	""	";"	"0"	"à N=$2"	""	"4"
"30790"	"406"	"34790"	""	","	"0"	"de N=$2"	""	"1"
"30790"	"406"	"34791"	""	","	"0"	"de N=$2"	""	"2"
"30790"	"422"	"34792"	""	","	"0"	"à N=$2"	""	"1"
"30790"	"126"	"34759"	""	"<"	"0"	""	"postpos"	"1"
"30790"	"170"	"34765"	""	","	"0"	"ART ~ de N=$2"	""	"1"
"30790"	"427"	"34795"	""	","	"0"	""	"postpos"	"1"
"30790"	"427"	"34757"	""	";"	"0"	""	""	"2"
"30790"	"427"	"34758"	""	","	"0"	""	""	"3"
"30791"	"3"	"34796"	""	","	"0"	""	""	"1"
"30791"	"28"	"34797"	""	","	"0"	""	""	"1"
"30791"	"74"	"30792"	""	","	"0"	""	""	"1"
"30791"	"126"	"34758"	""	","	"0"	""	"postpos"	"1"
"30791"	"145"	"34798"	""	","	"0"	""	"postpos"	"1"
"30791"	"145"	"34799"	""	","	"0"	""	"postpos"	"2"
"30791"	"145"	"34800"	""	","	"0"	""	""	"3"
"30791"	"170"	"34765"	""	","	"0"	"l’~ de N=$2"	""	"1"
"30791"	"251"	"34801"	""	","	"0"	"l’~ "	""	"1"
"30791"	"251"	"34802"	""	","	"0"	"à l’~ "	""	"2"
"30791"	"251"	"26378"	""	","	"0"	"l’~ "	""	"3"
"30791"	"252"	"26226"	""	","	"0"	"l’~ "	""	"1"
"30791"	"252"	"26828"	""	","	"0"	"l’~ "	""	"2"
"30791"	"16"	"34808"	""	","	"0"	""	""	"1"
"30791"	"391"	"34825"	""	","	"0"	"devant l’ ~"	""	"1"
"30791"	"391"	"34826"	""	","	"0"	"devant l’ ~"	""	"2"
"30791"	"391"	"34828"	""	","	"0"	"devant l’~"	""	"3"
"30791"	"391"	"27641"	""	"<"	"0"	"devant l’~"	""	"4"
"30791"	"254"	"34803"	""	","	"0"	"l’~"	""	"1"
"30791"	"254"	"34804"	""	","	"0"	"l’~"	""	"2"
"30791"	"254"	"29770"	""	","	"0"	"l’~"	""	"3"
"30791"	"254"	"34805"	""	"<"	"0"	"l’~"	""	"4"
"30791"	"254"	"34806"	""	","	"0"	"l’~"	""	"5"
"30792"	"11"	"34752"	""	","	"0"	""	""	"1"
"30792"	"100"	"30791"	""	","	"0"	""	""	"1"
"30792"	"3"	"31702"	""	","	"0"	""	""	"1"
"30792"	"104"	"34821"	""	","	"0"	""	""	"1"
"30793"	"3"	"34811"	""	","	"0"	""	""	"1"
"30793"	"3"	"34812"	""	";"	"0"	""	""	"2"
"30793"	"13"	"34814"	""	","	"0"	"pour N=$2"	""	"1"
"30793"	"422"	"34817"	""	","	"0"	"pour N=$2"	""	"1"
"30793"	"170"	"34765"	""	","	"0"	"ART ~ de N=$2"	""	"1"
"30793"	"126"	"39168"	""	","	"0"	""	"antépos"	"1"
"30796"	"3"	"32897"	""	","	"0"	""	""	"1"
"30796"	"3"	"49607"	""	";"	"0"	""	""	"2"
"30796"	"23"	"32895"	""	","	"0"	""	""	"1"
"30796"	"37"	"26741"	""	","	"0"	""	""	"1"
"30797"	"4"	"27445"	""	","	"0"	""	""	"1"
"30799"	"306"	"34669"	""	","	"0"	""	""	"1"
"30800"	"3"	"48497"	""	","	"0"	""	""	"1"
"30801"	"3"	"26905"	""	";"	"0"	""	""	"1"
"30801"	"3"	"32796"	""	","	"0"	""	""	"2"
"30801"	"3"	"32794"	""	","	"0"	""	""	"3"
"30801"	"3"	"32822"	""	";"	"0"	""	""	"4"
"30801"	"3"	"32816"	""	";"	"0"	""	""	"5"
"30801"	"3"	"27121"	""	","	"0"	""	""	"6"
"30801"	"3"	"32789"	""	","	"0"	""	""	"7"
"30803"	"3"	"27437"	""	","	"0"	""	""	"1"
"30803"	"3"	"35073"	""	","	"0"	""	""	"2"
"30804"	"3"	"35083"	""	","	"0"	""	""	"1"
"30804"	"31"	"33261"	""	","	"0"	"de ART ~ "	""	"1"
