"id"	"example"	"occurrence"	"position"	"%"
"26258"	"4738"	"146,151;"	"6"	"100"
"26258"	"4740"	"46,51;"	"7"	"100"
"26258"	"4741"	"56,61;308,313;352,357;"	"8"	"100"
"26258"	"4743"	"19,24;"	"9"	"100"
"26259"	"6968"	"180,189;"	"0"	"100"
"26259"	"6975"	"330,339;"	"1"	"100"
"26259"	"6976"	"18,27;"	"2"	"100"
"26259"	"6981"	"70,79;"	"3"	"100"
"26259"	"6983"	"78,87;"	"4"	"100"
"26259"	"6986"	"160,170;"	"5"	"100"
"26259"	"7012"	"149,158;"	"6"	"100"
"26259"	"7013"	"98,107;"	"7"	"100"
"26259"	"7015"	"96,105;"	"8"	"100"
"26260"	"3767"	"204,209;"	"0"	"100"
"26261"	"3393"	"214,221;"	"0"	"100"
"26262"	"2839"	"134,139;298,303;393,398;"	"0"	"100"
"26263"	"5305"	"29,35;"	"0"	"100"
"26263"	"19975"	"137,144;"	"1"	"100"
"26263"	"19974"	"20,27;"	"2"	"100"
"26263"	"9677"	"244,251;"	"3"	"100"
"26263"	"16465"	"113,120;"	"4"	"100"
"26263"	"3228"	"52,58;"	"5"	"100"
"26264"	"23324"	"51,62;"	"0"	"100"
"26267"	"16483"	"249,253;"	"0"	"100"
"26267"	"16484"	"279,283;"	"1"	"100"
"26268"	"879"	"30,31;"	"0"	"100"
"26268"	"1162"	"32,40;175,179;"	"1"	"100"
"26268"	"4615"	"50,54;"	"2"	"100"
"26268"	"4934"	"174,178;"	"3"	"100"
"26268"	"1755"	"75,79;"	"4"	"100"
"26268"	"12211"	"46,50;"	"5"	"100"
"26268"	"15704"	"174,181;"	"6"	"100"
"26268"	"4175"	"92,95;"	"7"	"100"
"26268"	"3585"	"20,23;"	"8"	"100"
"26268"	"16236"	"59,68;"	"9"	"100"
"26268"	"10026"	"19,22;"	"10"	"100"
"26268"	"10668"	"24,28;"	"11"	"100"
"26269"	"12425"	"93,100;"	"0"	"100"
"26272"	"3838"	"110,116;"	"0"	"100"
"26273"	"3739"	"51,60;"	"0"	"100"
"26274"	"8570"	"120,127;"	"0"	"100"
"26275"	"3327"	"138,142;"	"0"	"100"
"26275"	"1498"	"25,29;"	"1"	"100"
"26276"	"7075"	"304,311;"	"0"	"100"
"26277"	"23466"	"48,59;"	"0"	"100"
"26278"	"2514"	"53,61;"	"0"	"100"
"26279"	"371"	"161,167;"	"0"	"100"
"26280"	"4033"	"35,41;"	"0"	"100"
"26281"	"272"	"113,120;"	"0"	"100"
"26282"	"2471"	"112,118;"	"0"	"100"
"26283"	"4592"	"70,77;"	"0"	"100"
"26284"	"8638"	"93,102;"	"0"	"100"
"26285"	"15262"	"55,57;"	"0"	"100"
"26286"	"9060"	"54,56;98,105;"	"0"	"100"
"26287"	"26010"	"18,19;26,30;"	"0"	"100"
"26288"	"13104"	"348,352;"	"0"	"100"
"26288"	"8713"	"123,126;"	"1"	"100"
"26289"	"15706"	"29,38;"	"0"	"100"
"26290"	"16513"	"55,62;"	"0"	"100"
"26291"	"32"	"77,79;"	"0"	"100"
"26291"	"33"	"56,59;"	"1"	"100"
"26291"	"34"	"145,148;"	"2"	"100"
"26291"	"35"	"110,112;"	"3"	"100"
"26291"	"36"	"143,145;"	"4"	"100"
"26291"	"38"	"88,91;"	"5"	"100"
"26291"	"39"	"79,82;"	"6"	"100"
"26291"	"40"	"76,79;"	"7"	"100"
"26291"	"41"	"64,67;"	"8"	"100"
"26292"	"10596"	"94,98;"	"0"	"100"
"26293"	"460"	"26,33;"	"0"	"100"
"26294"	"8912"	"78,84;"	"0"	"100"
"26294"	"2851"	"166,172;"	"1"	"100"
"26294"	"4171"	"63,69;"	"2"	"100"
"26294"	"8682"	"269,276;"	"3"	"100"
"26294"	"10974"	"43,50;"	"4"	"100"
"26294"	"21092"	"76,82;"	"5"	"100"
"26294"	"100"	"180,187;"	"6"	"100"
"26295"	"16844"	"149,155;"	"0"	"100"
"26296"	"1256"	"125,126;"	"0"	"100"
"26297"	"9705"	"37,44;"	"0"	"100"
"26297"	"14143"	"195,202;"	"1"	"100"
"26297"	"14144"	"20,28;"	"2"	"100"
"26297"	"14150"	"18,25;"	"3"	"100"
"26297"	"14151"	"44,52;"	"4"	"100"
"26297"	"14154"	"450,457;"	"5"	"100"
"26297"	"14147"	"221,228;"	"6"	"100"
"26297"	"14152"	"55,62;"	"7"	"100"
"26297"	"14153"	"371,378;"	"8"	"100"
"26298"	"24718"	"137,153;"	"0"	"100"
"26299"	"24719"	"78,83;"	"0"	"100"
"26300"	"28247"	"176,183;"	"0"	"100"
"26300"	"28249"	"168,175;"	"1"	"100"
"26300"	"28250"	"255,262;"	"2"	"100"
"26300"	"28256"	"264,271;"	"3"	"100"
"26300"	"28252"	"160,167;"	"4"	"100"
"26300"	"28257"	"118,125;"	"5"	"100"
"26301"	"25127"	"88,95;117,122;"	"0"	"100"
"26301"	"59"	"226,231;"	"1"	"100"
"26302"	"16995"	"91,94;"	"0"	"100"
"26303"	"16963"	"167,170;"	"0"	"100"
"26304"	"24547"	"65,71;"	"0"	"100"
"26305"	"9698"	"57,61;"	"0"	"100"
"26306"	"2757"	"115,122;"	"0"	"100"
"26307"	"2958"	"81,86;"	"0"	"100"
"26307"	"2961"	"42,47;"	"1"	"100"
"26307"	"2968"	"280,285;"	"2"	"100"
"26307"	"2970"	"140,145;"	"3"	"100"
"26307"	"2973"	"77,82;"	"4"	"100"
"26307"	"2981"	"152,157;"	"5"	"100"
"26307"	"2986"	"260,265;"	"6"	"100"
"26307"	"2991"	"68,73;"	"7"	"100"
"26307"	"2994"	"82,87;95,100;"	"8"	"100"
"26308"	"16139"	"34,40;"	"0"	"100"
"26309"	"1494"	"26,31;"	"1"	"100"
"26309"	"1596"	"53,58;"	"2"	"100"
"26309"	"1811"	"384,389;"	"3"	"100"
"26309"	"1369"	"206,211;"	"4"	"100"
"26309"	"2469"	"219,224;"	"5"	"100"
"26310"	"1255"	"37,48;"	"0"	"100"
"26311"	"8975"	"90,97;"	"0"	"100"
"26312"	"6955"	"36,41;"	"0"	"100"
"26313"	"8729"	"51,58;"	"0"	"100"
"26313"	"21739"	"178,185;"	"1"	"100"
"26314"	"438"	"87,93;"	"0"	"100"
"26315"	"16859"	"22,29;"	"0"	"100"
"26316"	"2599"	"123,129;"	"0"	"100"
"26316"	"2601"	"249,255;"	"1"	"100"
"26316"	"2603"	"40,47;"	"2"	"100"
"26316"	"2609"	"149,155;"	"3"	"100"
"26316"	"2611"	"53,59;"	"4"	"100"
"26316"	"2612"	"175,181;263,269;"	"5"	"100"
"26316"	"2614"	"54,60;199,205;"	"6"	"100"
"26316"	"2617"	"39,45;"	"7"	"100"
"26316"	"2618"	"158,164;"	"8"	"100"
"26316"	"2620"	"109,115;"	"9"	"100"
"26317"	"3357"	"195,201;"	"0"	"100"
"26318"	"863"	"138,141;"	"0"	"100"
"26319"	"13621"	"36,41;"	"0"	"100"
"26320"	"14242"	"74,81;144,153;"	"0"	"100"
"26321"	"18538"	"83,91;"	"0"	"100"
"26323"	"19942"	"203,215;"	"0"	"100"
"26324"	"5989"	"39,46;"	"0"	"100"
"26324"	"5990"	"235,242;"	"1"	"100"
"26324"	"5991"	"60,67;"	"2"	"100"
"26325"	"2842"	"75,83;"	"0"	"100"
"26326"	"11028"	"234,242;"	"0"	"100"
"26327"	"9986"	"79,89;"	"0"	"100"
"26327"	"7176"	"128,138;"	"1"	"100"
"26327"	"7761"	"18,28;"	"2"	"100"
"26327"	"15191"	"83,93;"	"3"	"100"
"26327"	"7326"	"88,99;"	"4"	"100"
"26327"	"14746"	"164,174;"	"5"	"100"
"26327"	"15188"	"16,26;219,229;"	"6"	"100"
"26327"	"5334"	"169,180;"	"7"	"100"
"26327"	"15189"	"172,182;"	"8"	"100"
"26327"	"15190"	"106,116;"	"9"	"100"
"26328"	"11775"	"208,220;"	"0"	"100"
"26329"	"24836"	"106,114;"	"0"	"100"
"26331"	"9644"	"241,247;"	"0"	"100"
"26332"	"16335"	"103,113;"	"0"	"100"
"26333"	"2681"	"115,124;"	"0"	"100"
"26334"	"7838"	"406,419;"	"0"	"100"
"26335"	"15928"	"16,24;"	"0"	"100"
"26336"	"1822"	"54,62;"	"0"	"100"
"26336"	"1823"	"227,235;"	"1"	"100"
"26336"	"1824"	"18,25;"	"2"	"100"
"26337"	"23161"	"32,39;"	"0"	"100"
"26338"	"4377"	"71,78;"	"1"	"100"
"26338"	"9555"	"256,265;"	"2"	"100"
"26338"	"9417"	"29,36;"	"3"	"100"
"26339"	"4728"	"45,59;"	"0"	"100"
"26340"	"5627"	"71,77;"	"0"	"100"
"26341"	"218"	"16,20;"	"0"	"100"
"26341"	"12308"	"56,60;"	"1"	"100"
"26341"	"1020"	"165,169;"	"2"	"100"
"26342"	"4571"	"24,35;"	"0"	"100"
"26342"	"8016"	"186,197;"	"1"	"100"
"26343"	"226"	"290,299;"	"0"	"100"
"26345"	"4284"	"44,52;"	"0"	"100"
"26346"	"11120"	"241,248;"	"0"	"100"
"26347"	"31267"	"73,78;"	"0"	"100"
"26347"	"6244"	"64,69;"	"1"	"100"
"26347"	"19646"	"120,124;"	"2"	"100"
"26348"	"844"	"61,66;"	"0"	"100"
"26349"	"839"	"237,240;"	"0"	"100"
"26350"	"834"	"81,85;"	"0"	"100"
"26351"	"24902"	"166,170;"	"0"	"100"
"26352"	"808"	"88,94;"	"0"	"100"
"26352"	"811"	"116,123;"	"1"	"100"
"26352"	"814"	"148,154;"	"2"	"100"
"26352"	"884"	"44,50;"	"3"	"100"
"26352"	"885"	"148,154;"	"4"	"100"
"26352"	"610"	"89,95;"	"5"	"100"
"26352"	"824"	"85,91;"	"6"	"100"
"26352"	"821"	"224,230;"	"7"	"100"
"26352"	"867"	"93,99;"	"8"	"100"
"26352"	"833"	"93,100;"	"9"	"100"
"26352"	"886"	"37,43;"	"10"	"100"
"26353"	"16757"	"143,149;"	"0"	"100"
"26354"	"21721"	"100,106;"	"0"	"100"
"26355"	"4928"	"44,49;"	"0"	"100"
