"id"	"example"	"occurrence"	"position"	"%"
"29589"	"2447"	"66,74;"	"0"	"100"
"29590"	"14910"	"105,111;"	"0"	"100"
"29591"	"13521"	"32,36;"	"0"	"100"
"29592"	"7116"	"103,114;"	"0"	"100"
"29593"	"14967"	"271,279;"	"0"	"100"
"29593"	"12602"	"19,27;"	"1"	"100"
"29593"	"18730"	"102,110;"	"2"	"100"
"29593"	"16857"	"73,81;"	"3"	"100"
"29593"	"9954"	"19,27;"	"4"	"100"
"29593"	"16882"	"71,80;"	"5"	"100"
"29593"	"5300"	"75,83;"	"6"	"100"
"29593"	"16886"	"36,44;"	"7"	"100"
"29593"	"18154"	"50,58;"	"8"	"100"
"29594"	"1610"	"430,439;"	"0"	"100"
"29595"	"10152"	"117,127;"	"0"	"100"
"29595"	"19415"	"78,87;"	"1"	"100"
"29596"	"281"	"65,73;"	"0"	"100"
"29597"	"219"	"237,244;"	"0"	"100"
"29598"	"3456"	"417,421;"	"0"	"100"
"29598"	"22427"	"121,125;"	"1"	"100"
"29598"	"14919"	"172,177;"	"2"	"100"
"29599"	"14788"	"43,53;"	"0"	"100"
"29600"	"9648"	"19,25;"	"0"	"100"
"29600"	"9618"	"65,71;"	"1"	"100"
"29600"	"5203"	"63,69;"	"2"	"100"
"29600"	"11008"	"64,70;"	"3"	"100"
"29600"	"14672"	"45,51;"	"4"	"100"
"29600"	"4941"	"134,140;317,323;"	"6"	"100"
"29600"	"10040"	"72,78;"	"7"	"100"
"29600"	"4495"	"129,135;"	"8"	"100"
"29600"	"763"	"218,224;"	"9"	"100"
"29600"	"10968"	"33,39;"	"10"	"100"
"29601"	"25113"	"388,394;"	"0"	"100"
"29602"	"1332"	"24,28;"	"0"	"100"
"29602"	"12417"	"19,23;"	"1"	"100"
"29603"	"25120"	"36,44;"	"0"	"100"
"29604"	"25154"	"89,94;"	"0"	"100"
"29605"	"25126"	"245,250;"	"0"	"100"
"29606"	"11197"	"91,99;"	"0"	"100"
"29607"	"553"	"93,97;"	"0"	"100"
"29607"	"15923"	"48,52;"	"1"	"100"
"29607"	"3165"	"113,118;"	"2"	"100"
"29608"	"242"	"131,136;"	"0"	"100"
"29608"	"243"	"99,104;"	"1"	"100"
"29608"	"244"	"133,138;"	"2"	"100"
"29608"	"248"	"44,49;"	"3"	"100"
"29608"	"250"	"118,123;"	"4"	"100"
"29608"	"249"	"25,30;"	"5"	"100"
"29608"	"245"	"34,39;"	"6"	"100"
"29608"	"246"	"105,110;"	"7"	"100"
"29608"	"247"	"117,122;"	"8"	"100"
"29609"	"7477"	"47,53;"	"0"	"100"
"29610"	"19365"	"31,39;"	"0"	"100"
"29611"	"849"	"246,250;"	"0"	"100"
"29612"	"11599"	"74,79;"	"0"	"100"
"29612"	"499"	"38,43;"	"1"	"100"
"29613"	"25987"	"160,164;"	"0"	"100"
"29614"	"14141"	"178,182;"	"0"	"100"
"29615"	"4220"	"29,36;"	"0"	"100"
"29615"	"1304"	"28,35;"	"1"	"100"
"29615"	"22008"	"192,199;"	"2"	"100"
"29615"	"7136"	"157,163;"	"3"	"100"
"29615"	"18490"	"42,48;"	"4"	"100"
"29616"	"15596"	"36,41;"	"0"	"100"
"29617"	"31250"	"51,57;"	"0"	"100"
"29617"	"31251"	"19,25;"	"1"	"100"
"29617"	"11829"	"84,90;"	"2"	"100"
"29617"	"6747"	"43,49;"	"3"	"100"
"29617"	"28553"	"154,160;"	"4"	"100"
"29618"	"1893"	"76,83;"	"0"	"100"
"29618"	"15529"	"69,76;"	"1"	"100"
"29618"	"15474"	"235,242;"	"2"	"100"
"29619"	"16230"	"107,111;"	"0"	"100"
"29620"	"7926"	"33,39;"	"0"	"100"
"29621"	"25958"	"85,92;"	"0"	"100"
"29622"	"519"	"166,175;"	"0"	"100"
"29623"	"308"	"20,30;"	"0"	"100"
"29623"	"2834"	"171,181;"	"1"	"100"
"29623"	"13155"	"27,37;"	"2"	"100"
"29624"	"22042"	"135,138;"	"0"	"100"
"29625"	"285"	"163,166;"	"0"	"100"
"29625"	"1562"	"35,38;"	"1"	"100"
"29625"	"8486"	"86,89;"	"2"	"100"
"29625"	"336"	"156,159;"	"3"	"100"
"29625"	"474"	"110,113;"	"4"	"100"
"29625"	"1515"	"493,496;"	"5"	"100"
"29625"	"1954"	"107,110;"	"6"	"100"
"29625"	"2305"	"95,98;"	"7"	"100"
"29625"	"393"	"135,138;"	"8"	"100"
"29625"	"6535"	"131,134;"	"9"	"100"
"29625"	"9102"	"48,51;"	"10"	"100"
"29625"	"9318"	"391,394;"	"11"	"100"
"29625"	"2306"	"18,21;"	"12"	"100"
"29626"	"20071"	"72,75;"	"0"	"100"
"29627"	"2189"	"19,23;"	"0"	"100"
"29628"	"21064"	"66,68;"	"0"	"100"
"29629"	"2064"	"131,137;"	"0"	"100"
"29630"	"4919"	"87,97;"	"0"	"100"
"29631"	"7898"	"49,54;"	"0"	"100"
"29631"	"8502"	"152,157;"	"1"	"100"
"29631"	"13283"	"329,334;"	"2"	"100"
"29631"	"13285"	"108,113;"	"3"	"100"
"29631"	"13288"	"27,32;"	"4"	"100"
"29631"	"13289"	"116,121;"	"5"	"100"
"29631"	"13292"	"408,413;"	"6"	"100"
"29631"	"13293"	"109,114;"	"7"	"100"
"29631"	"13294"	"270,275;"	"8"	"100"
"29631"	"13296"	"157,162;"	"9"	"100"
"29631"	"13298"	"41,46;"	"10"	"100"
"29631"	"13304"	"184,189;"	"11"	"100"
"29631"	"13431"	"69,74;96,101;159,164;295,300;366,371;"	"12"	"100"
"29632"	"5411"	"75,81;"	"0"	"100"
"29633"	"5142"	"139,143;"	"0"	"100"
"29634"	"25785"	"115,119;"	"0"	"100"
"29635"	"8933"	"123,127;"	"0"	"100"
"29636"	"22544"	"36,42;"	"0"	"100"
"29636"	"7387"	"112,118;268,274;"	"1"	"100"
"29637"	"7920"	"57,64;"	"0"	"100"
"29637"	"8641"	"297,304;"	"1"	"100"
"29638"	"4138"	"170,174;"	"0"	"100"
"29639"	"22471"	"43,48;"	"0"	"100"
"29639"	"345"	"191,196;"	"1"	"100"
"29640"	"22467"	"69,74;"	"0"	"100"
"29640"	"22468"	"100,105;"	"1"	"100"
"29641"	"765"	"109,113;"	"0"	"100"
"29642"	"22465"	"81,85;"	"0"	"100"
"29643"	"1186"	"132,134;"	"0"	"100"
"29643"	"1588"	"63,65;"	"1"	"100"
"29644"	"498"	"59,63;"	"0"	"100"
"29644"	"1469"	"43,47;"	"1"	"100"
"29645"	"7942"	"115,122;"	"0"	"100"
"29645"	"1625"	"80,87;"	"1"	"100"
"29645"	"5232"	"211,218;"	"2"	"100"
"29645"	"847"	"163,170;"	"3"	"100"
"29645"	"7594"	"141,148;"	"4"	"100"
"29645"	"6326"	"19,26;"	"5"	"100"
"29645"	"8205"	"146,153;"	"6"	"100"
"29645"	"8206"	"72,79;"	"7"	"100"
"29645"	"7588"	"127,134;"	"8"	"100"
"29645"	"7597"	"49,56;"	"9"	"100"
"29646"	"4689"	"113,116;"	"0"	"100"
"29647"	"4454"	"152,158;"	"0"	"100"
"29648"	"16834"	"63,69;"	"0"	"100"
"29649"	"13030"	"198,202;"	"0"	"100"
"29649"	"22790"	"87,91;"	"1"	"100"
"29649"	"22791"	"247,251;"	"2"	"100"
"29649"	"2486"	"196,201;"	"3"	"100"
"29649"	"6583"	"59,63;280,284;"	"4"	"100"
"29649"	"20413"	"44,48;"	"5"	"100"
"29649"	"22804"	"90,94;"	"6"	"100"
"29649"	"22808"	"33,38;"	"7"	"100"
"29649"	"15203"	"165,169;"	"8"	"100"
"29649"	"22811"	"378,383;"	"9"	"100"
"29649"	"22817"	"464,468;"	"10"	"100"
"29649"	"22814"	"180,185;"	"11"	"100"
"29650"	"22439"	"85,91;"	"0"	"100"
"29650"	"4528"	"118,125;"	"1"	"100"
"29650"	"11155"	"301,308;"	"2"	"100"
"29650"	"20766"	"194,200;"	"3"	"100"
"29651"	"1912"	"71,77;148,154;"	"0"	"100"
"29651"	"2350"	"183,191;"	"1"	"100"
"29651"	"3396"	"195,201;"	"2"	"100"
"29651"	"2356"	"195,208;"	"3"	"100"
"29652"	"1023"	"46,48;"	"0"	"100"
"29652"	"22436"	"47,49;"	"1"	"100"
"29653"	"22438"	"159,161;"	"0"	"100"
"29653"	"781"	"62,64;"	"1"	"100"
"29654"	"22433"	"39,44;102,107;208,213;231,236;348,353;"	"0"	"100"
"29654"	"838"	"90,95;201,206;234,238;334,339;"	"1"	"100"
"29655"	"9482"	"19,26;"	"0"	"100"
"29655"	"9616"	"91,98;"	"1"	"100"
"29655"	"10253"	"251,258;"	"2"	"100"
"29655"	"10254"	"271,278;"	"3"	"100"
"29655"	"10255"	"19,26;"	"4"	"100"
"29655"	"10256"	"166,174;"	"5"	"100"
"29655"	"10257"	"273,280;"	"6"	"100"
"29655"	"10258"	"112,119;"	"7"	"100"
"29655"	"10259"	"294,301;"	"8"	"100"
"29656"	"8245"	"25,32;121,128;161,167;"	"0"	"100"
"29656"	"6831"	"30,36;"	"1"	"100"
"29656"	"6646"	"69,75;"	"2"	"100"
"29656"	"8246"	"251,257;"	"3"	"100"
"29656"	"8247"	"99,106;"	"4"	"100"
"29656"	"8249"	"174,181;"	"5"	"100"
"29656"	"8253"	"60,66;"	"6"	"100"
"29656"	"8252"	"337,343;"	"7"	"100"
"29656"	"8250"	"39,45;"	"8"	"100"
"29657"	"22427"	"73,78;"	"0"	"100"
"29658"	"12340"	"138,145;"	"0"	"100"
"29658"	"12341"	"220,226;"	"1"	"100"
"29658"	"9667"	"141,148;"	"2"	"100"
"29658"	"12342"	"111,117;333,339;"	"3"	"100"
"29658"	"12363"	"207,214;"	"4"	"100"
"29658"	"12364"	"66,73;"	"5"	"100"
"29658"	"4495"	"23,29;"	"6"	"100"
"29658"	"11953"	"59,65;"	"7"	"100"
"29658"	"12365"	"186,192;"	"8"	"100"
"29658"	"12380"	"154,160;"	"9"	"100"
"29658"	"12381"	"180,186;"	"10"	"100"
"29658"	"12382"	"267,273;"	"11"	"100"
"29659"	"6607"	"160,166;"	"0"	"100"
"29660"	"836"	"512,516;"	"0"	"100"
"29660"	"9228"	"144,148;"	"1"	"100"
"29660"	"13070"	"76,80;"	"2"	"100"
"29660"	"20014"	"67,71;"	"3"	"100"
"29660"	"22723"	"112,116;"	"4"	"100"
"29660"	"26857"	"82,86;"	"5"	"100"
"29660"	"4150"	"69,73;"	"6"	"100"
"29660"	"5052"	"109,113;"	"7"	"100"
"29660"	"10636"	"94,98;"	"8"	"100"
"29660"	"14328"	"190,194;"	"9"	"100"
"29661"	"14124"	"245,248;"	"0"	"100"
"29662"	"171"	"63,65;"	"0"	"100"
"29662"	"3810"	"75,77;"	"1"	"100"
"29663"	"22422"	"38,42;"	"0"	"100"
"29663"	"2977"	"72,76;"	"1"	"100"
"29664"	"22421"	"96,103;"	"0"	"100"
"29664"	"8525"	"76,83;"	"1"	"100"
"29665"	"22419"	"164,170;"	"0"	"100"
"29665"	"10932"	"295,301;"	"1"	"100"
"29666"	"22417"	"225,231;"	"0"	"100"
"29667"	"11643"	"55,61;"	"0"	"100"
"29668"	"22416"	"45,52;"	"0"	"100"
"29668"	"80"	"23,30;"	"1"	"100"
"29669"	"22415"	"24,27;"	"0"	"100"
"29669"	"8325"	"113,116;"	"1"	"100"
"29670"	"22414"	"109,116;"	"0"	"100"
"29670"	"9050"	"19,26;"	"1"	"100"
"29671"	"5272"	"227,239;"	"0"	"100"
"29671"	"18593"	"230,238;"	"1"	"100"
"29672"	"22409"	"95,102;"	"0"	"100"
"29672"	"3731"	"40,47;"	"1"	"100"
"29673"	"22408"	"156,162;"	"0"	"100"
"29673"	"1271"	"58,64;"	"1"	"100"
"29674"	"22400"	"196,197;199,206;"	"0"	"100"
"29675"	"22397"	"59,64;"	"0"	"100"
"29675"	"4118"	"110,115;"	"1"	"100"
"29676"	"424"	"91,95;"	"0"	"100"
"29677"	"16281"	"229,232;"	"0"	"100"
"29678"	"660"	"143,146;"	"0"	"100"
"29679"	"22391"	"89,96;"	"0"	"100"
"29679"	"5512"	"190,196;"	"1"	"100"
"29680"	"22387"	"97,105;"	"0"	"100"
"29681"	"22383"	"134,139;"	"0"	"100"
"29681"	"2167"	"104,109;"	"1"	"100"
"29682"	"8435"	"225,230;"	"0"	"100"
"29683"	"22381"	"105,114;"	"0"	"100"
"29683"	"576"	"103,111;"	"1"	"100"
"29685"	"282"	"19,24;"	"0"	"100"
"29685"	"645"	"110,115;"	"1"	"100"
"29686"	"22331"	"143,150;"	"0"	"100"
"29687"	"2935"	"63,68;"	"0"	"100"
"29688"	"3905"	"151,155;"	"0"	"100"
"29688"	"3864"	"168,172;"	"1"	"100"
"29688"	"3908"	"61,65;"	"2"	"100"
"29688"	"3958"	"90,94;"	"3"	"100"
"29688"	"3961"	"47,52;"	"4"	"100"
"29688"	"3962"	"78,82;"	"5"	"100"
"29688"	"3963"	"97,101;"	"6"	"100"
"29688"	"3964"	"64,68;"	"7"	"100"
"29688"	"3966"	"142,146;"	"8"	"100"
"29688"	"3968"	"200,204;"	"9"	"100"
"29688"	"3969"	"37,42;"	"10"	"100"
"29688"	"3971"	"67,71;"	"11"	"100"
"29688"	"3973"	"65,69;"	"12"	"100"
"29688"	"3975"	"20,25;"	"13"	"100"
"29688"	"3976"	"127,132;"	"14"	"100"
"29688"	"3981"	"113,118;"	"15"	"100"
"29688"	"3855"	"19,23;"	"16"	"100"
"29689"	"9377"	"65,72;"	"0"	"100"
"29690"	"22328"	"92,96;"	"0"	"100"
"29690"	"8259"	"125,130;"	"1"	"100"
"29691"	"1190"	"109,118;"	"0"	"100"
"29692"	"22301"	"29,39;"	"0"	"100"
"29692"	"1809"	"63,73;"	"1"	"100"
"29693"	"4787"	"157,163;"	"0"	"100"
"29694"	"7392"	"62,68;"	"0"	"100"
"29694"	"7393"	"50,56;"	"1"	"100"
"29694"	"7415"	"19,25;"	"2"	"100"
"29694"	"7395"	"28,34;"	"3"	"100"
"29694"	"7396"	"121,127;"	"4"	"100"
"29694"	"554"	"138,145;"	"5"	"100"
"29694"	"7433"	"158,165;"	"6"	"100"
"29694"	"7397"	"118,124;371,377;"	"7"	"100"
"29694"	"2737"	"19,25;"	"8"	"100"
"29694"	"7398"	"47,53;"	"9"	"100"
"29694"	"7399"	"87,93;"	"10"	"100"
"29694"	"7400"	"286,293;"	"11"	"100"
"29694"	"7404"	"167,174;"	"12"	"100"
"29695"	"8178"	"167,173;"	"0"	"100"
"29696"	"22293"	"176,182;"	"0"	"100"
"29696"	"21159"	"87,94;"	"1"	"100"
"29697"	"22290"	"74,85;"	"0"	"100"
"29697"	"16662"	"109,120;"	"1"	"100"
"29698"	"22287"	"194,204;"	"0"	"100"
"29698"	"16088"	"60,70;"	"1"	"100"
"29699"	"7675"	"112,127;"	"0"	"100"
"29700"	"5643"	"172,182;"	"0"	"100"
"29700"	"22173"	"58,68;"	"1"	"100"
"29701"	"15140"	"64,76;"	"0"	"100"
"29701"	"21963"	"87,97;"	"1"	"100"
"29702"	"8646"	"105,115;"	"0"	"100"
"29703"	"19505"	"45,54;"	"0"	"100"
"29704"	"848"	"219,226;"	"0"	"100"
"29705"	"6721"	"81,88;"	"0"	"100"
"29705"	"9985"	"169,178;"	"1"	"100"
"29705"	"11173"	"551,560;"	"2"	"100"
"29705"	"16454"	"21,30;"	"3"	"100"
"29706"	"22103"	"143,148;"	"0"	"100"
"29707"	"9239"	"113,120;"	"0"	"100"
"29708"	"10197"	"184,191;"	"0"	"100"
"29708"	"22096"	"127,133;"	"1"	"100"
"29709"	"7519"	"127,135;"	"0"	"100"
"29709"	"7869"	"46,54;"	"1"	"100"
"29709"	"21652"	"67,75;"	"2"	"100"
"29710"	"21216"	"34,39;"	"0"	"100"
"29710"	"21214"	"16,21;"	"1"	"100"
"29711"	"25945"	"26,35;"	"0"	"100"
"29712"	"3152"	"62,65;"	"0"	"100"
"29712"	"10292"	"56,59;"	"1"	"100"
"29712"	"1248"	"58,61;"	"2"	"100"
"29713"	"21650"	"63,68;"	"0"	"100"
"29713"	"20935"	"103,108;"	"1"	"100"
"29714"	"8535"	"82,89;"	"0"	"100"
"29714"	"8536"	"81,88;"	"1"	"100"
"29714"	"8537"	"24,31;"	"2"	"100"
"29714"	"8540"	"174,181;"	"3"	"100"
"29714"	"8543"	"37,44;"	"4"	"100"
"29714"	"8546"	"266,273;"	"5"	"100"
"29714"	"8553"	"345,353;"	"6"	"100"
"29714"	"8542"	"106,114;"	"7"	"100"
"29714"	"8545"	"235,242;"	"8"	"100"
"29714"	"8555"	"169,176;"	"9"	"100"
"29715"	"21624"	"52,59;"	"0"	"100"
"29715"	"21625"	"86,93;"	"1"	"100"
"29715"	"21626"	"34,41;"	"2"	"100"
"29716"	"19235"	"152,159;"	"0"	"100"
"29717"	"21615"	"24,28;"	"0"	"100"
"29717"	"21616"	"25,29;"	"1"	"100"
"29718"	"21598"	"64,72;"	"0"	"100"
"29718"	"5290"	"99,107;"	"1"	"100"
"29719"	"1742"	"93,100;"	"0"	"100"
"29720"	"19660"	"189,194;"	"0"	"100"
"29720"	"5908"	"114,119;"	"1"	"100"
"29721"	"9025"	"78,86;"	"0"	"100"
"29721"	"9650"	"106,114;"	"1"	"100"
"29722"	"14"	"126,130;"	"0"	"100"
"29722"	"19657"	"161,165;"	"1"	"100"
"29723"	"19656"	"38,46;"	"0"	"100"
"29723"	"327"	"43,51;"	"1"	"100"
"29724"	"19654"	"157,166;"	"0"	"100"
"29725"	"10938"	"414,422;"	"0"	"100"
"29725"	"11145"	"173,182;"	"1"	"100"
"29725"	"11147"	"81,90;"	"2"	"100"
"29725"	"11149"	"83,91;"	"3"	"100"
"29725"	"11150"	"153,161;"	"4"	"100"
"29725"	"11152"	"29,37;"	"5"	"100"
"29725"	"11154"	"44,52;198,207;"	"6"	"100"
"29725"	"11155"	"262,270;"	"7"	"100"
"29725"	"20551"	"100,109;"	"8"	"100"
"29725"	"11156"	"83,92;"	"9"	"100"
"29725"	"11157"	"116,125;"	"10"	"100"
"29725"	"11158"	"273,281;"	"11"	"100"
"29726"	"19646"	"109,113;"	"0"	"100"
"29726"	"3525"	"312,316;"	"1"	"100"
"29727"	"9412"	"63,66;"	"0"	"100"
"29728"	"12749"	"38,45;"	"0"	"100"
"29728"	"281"	"150,158;"	"1"	"100"
"29729"	"19644"	"127,130;"	"0"	"100"
"29729"	"8571"	"152,156;"	"1"	"100"
"29730"	"2844"	"143,150;"	"0"	"100"
"29731"	"5777"	"20,25;"	"0"	"100"
"29732"	"7218"	"147,155;"	"0"	"100"
"29733"	"19641"	"43,49;"	"0"	"100"
"29733"	"6789"	"34,40;"	"1"	"100"
"29734"	"19633"	"79,84;"	"0"	"100"
"29734"	"2213"	"40,52;"	"1"	"100"
"29735"	"19632"	"57,60;113,116;"	"0"	"100"
"29735"	"2966"	"30,33;"	"1"	"100"
"29736"	"15"	"352,353;"	"0"	"100"
"29736"	"33"	"42,43;100,101;"	"1"	"100"
"29737"	"2206"	"113,116;"	"0"	"100"
"29738"	"308"	"84,87;"	"0"	"100"
"29738"	"19620"	"101,105;"	"1"	"100"
"29739"	"19615"	"77,82;"	"0"	"100"
"29739"	"15020"	"200,205;"	"1"	"100"
"29740"	"6893"	"79,86;"	"0"	"100"
"29740"	"16898"	"22,28;"	"1"	"100"
"29741"	"864"	"57,61;"	"0"	"100"
"29741"	"1495"	"90,94;"	"1"	"100"
"29742"	"19607"	"93,96;"	"0"	"100"
"29742"	"2197"	"37,41;"	"1"	"100"
"29743"	"19394"	"33,37;"	"0"	"100"
"29744"	"19564"	"48,50;"	"0"	"100"
"29744"	"8394"	"63,65;99,100;176,177;195,196;"	"1"	"100"
"29745"	"19563"	"49,50;"	"0"	"100"
"29746"	"1056"	"115,116;"	"0"	"100"
"29746"	"19562"	"47,48;"	"1"	"100"
"29747"	"19559"	"34,41;"	"0"	"100"
"29748"	"3459"	"35,42;"	"0"	"100"
"29749"	"19532"	"130,135;"	"0"	"100"
"29749"	"418"	"44,49;"	"1"	"100"
"29750"	"19531"	"102,105;"	"0"	"100"
"29750"	"15735"	"70,73;"	"1"	"100"
"29751"	"19529"	"99,103;"	"0"	"100"
"29752"	"5338"	"104,110;"	"0"	"100"
"29753"	"11511"	"118,127;"	"0"	"100"
"29753"	"10819"	"130,139;"	"1"	"100"
"29754"	"19488"	"100,105;"	"0"	"100"
"29754"	"4141"	"127,133;"	"1"	"100"
"29755"	"19486"	"58,62;"	"0"	"100"
"29755"	"4605"	"206,210;"	"1"	"100"
"29756"	"19467"	"51,55;"	"0"	"100"
"29756"	"736"	"63,67;"	"1"	"100"
"29757"	"19466"	"70,76;"	"0"	"100"
"29758"	"19458"	"25,30;"	"0"	"100"
"29758"	"746"	"38,43;"	"1"	"100"
"29759"	"11790"	"46,55;"	"0"	"100"
"29759"	"19456"	"98,107;"	"1"	"100"
"29760"	"1089"	"66,70;"	"0"	"100"
"29760"	"1479"	"82,86;"	"1"	"100"
"29761"	"7823"	"227,234;"	"0"	"100"
"29762"	"4776"	"24,31;"	"0"	"100"
"29763"	"13785"	"158,164;"	"0"	"100"
"29764"	"8111"	"19,24;"	"0"	"100"
"29765"	"3231"	"52,59;"	"0"	"100"
"29766"	"5918"	"75,80;"	"0"	"100"
"29766"	"2856"	"98,103;"	"1"	"100"
"29766"	"5534"	"86,90;"	"2"	"100"
"29766"	"2933"	"160,165;"	"3"	"100"
"29766"	"8410"	"74,78;"	"4"	"100"
"29766"	"8411"	"46,51;"	"5"	"100"
"29766"	"3186"	"77,82;"	"6"	"100"
"29766"	"3600"	"67,72;"	"7"	"100"
"29766"	"8412"	"175,180;"	"8"	"100"
"29767"	"16580"	"105,115;"	"0"	"100"
"29768"	"1532"	"216,221;"	"0"	"100"
"29769"	"14653"	"33,37;"	"0"	"100"
"29770"	"3595"	"46,52;"	"0"	"100"
"29771"	"993"	"61,69;"	"0"	"100"
"29772"	"8340"	"198,205;"	"0"	"100"
"29773"	"5172"	"261,266;"	"0"	"100"
"29774"	"13524"	"119,125;"	"0"	"100"
"29775"	"1309"	"31,36;"	"0"	"100"
"29776"	"791"	"130,136;"	"0"	"100"
"29776"	"3605"	"136,141;"	"1"	"100"
"29776"	"4370"	"66,71;"	"2"	"100"
"29776"	"5699"	"60,66;"	"3"	"100"
"29776"	"5836"	"19,24;"	"4"	"100"
"29776"	"6029"	"46,52;"	"5"	"100"
"29776"	"6030"	"69,74;"	"6"	"100"
"29776"	"6031"	"199,204;"	"7"	"100"
"29776"	"376"	"67,72;"	"8"	"100"
"29776"	"357"	"24,29;"	"9"	"100"
"29777"	"19362"	"33,38;"	"0"	"100"
"29778"	"13424"	"118,124;"	"0"	"100"
"29779"	"19360"	"155,161;"	"0"	"100"
"29780"	"5996"	"113,118;"	"0"	"100"
"29780"	"11100"	"357,368;"	"1"	"100"
"29780"	"9511"	"243,254;"	"2"	"100"
"29781"	"1845"	"69,75;"	"0"	"100"
"29782"	"716"	"91,97;"	"0"	"100"
"29783"	"13219"	"99,102;"	"0"	"100"
"29784"	"258"	"34,39;"	"0"	"100"
"29784"	"8102"	"101,106;"	"1"	"100"
"29784"	"8103"	"41,45;"	"2"	"100"
"29785"	"331"	"61,65;"	"0"	"100"
"29786"	"11326"	"245,251;"	"0"	"100"
"29787"	"3407"	"46,55;"	"0"	"100"
"29788"	"6736"	"44,53;"	"0"	"100"
"29789"	"3440"	"34,41;"	"0"	"100"
"29789"	"3442"	"59,66;"	"1"	"100"
"29789"	"3448"	"105,113;"	"2"	"100"
"29789"	"3455"	"300,307;"	"3"	"100"
"29789"	"7070"	"84,91;"	"4"	"100"
"29789"	"7064"	"89,96;"	"5"	"100"
"29789"	"7065"	"78,85;"	"6"	"100"
"29789"	"7074"	"107,114;"	"7"	"100"
"29789"	"3469"	"63,70;"	"8"	"100"
"29789"	"7072"	"76,83;"	"9"	"100"
"29790"	"19318"	"30,36;"	"0"	"100"
"29791"	"5846"	"97,102;"	"0"	"100"
"29792"	"540"	"122,126;"	"0"	"100"
"29792"	"543"	"184,187;"	"1"	"100"
"29792"	"544"	"20,23;"	"2"	"100"
"29792"	"547"	"245,248;"	"3"	"100"
"29792"	"549"	"70,73;"	"4"	"100"
"29792"	"388"	"20,24;"	"5"	"100"
"29792"	"552"	"39,42;"	"6"	"100"
"29792"	"555"	"19,22;"	"7"	"100"
"29792"	"559"	"60,63;"	"8"	"100"
"29792"	"554"	"202,206;"	"9"	"100"
"29792"	"1178"	"32,36;"	"10"	"100"
"29792"	"560"	"76,79;"	"11"	"100"
"29792"	"561"	"58,62;"	"12"	"100"
"29792"	"563"	"123,126;"	"13"	"100"
"29792"	"564"	"61,64;"	"14"	"100"
"29792"	"568"	"29,32;"	"15"	"100"
"29793"	"920"	"189,195;"	"0"	"100"
"29794"	"282"	"68,76;"	"0"	"100"
"29795"	"80"	"76,83;"	"0"	"100"
"29796"	"2286"	"107,115;"	"0"	"100"
"29796"	"3182"	"85,90;"	"1"	"100"
"29796"	"3185"	"461,466;"	"2"	"100"
"29796"	"3187"	"78,83;"	"3"	"100"
"29796"	"3188"	"112,117;"	"4"	"100"
"29796"	"3190"	"142,147;"	"5"	"100"
"29796"	"3192"	"28,33;"	"6"	"100"
"29796"	"3197"	"207,213;"	"7"	"100"
"29796"	"3198"	"98,103;"	"8"	"100"
"29797"	"4841"	"43,47;"	"0"	"100"
"29797"	"872"	"133,142;"	"1"	"100"
"29798"	"5699"	"155,159;"	"0"	"100"
"29798"	"382"	"570,573;"	"1"	"100"
"29798"	"940"	"19,22;234,237;"	"2"	"100"
"29798"	"9692"	"120,123;"	"3"	"100"
"29798"	"1967"	"38,41;"	"4"	"100"
"29798"	"4251"	"19,22;"	"5"	"100"
"29798"	"624"	"20,24;"	"6"	"100"
"29798"	"8883"	"235,238;454,458;"	"7"	"100"
"29798"	"1007"	"66,69;"	"8"	"100"
"29798"	"12446"	"235,239;"	"9"	"100"
"29798"	"12447"	"37,40;"	"10"	"100"
"29798"	"12448"	"59,62;"	"11"	"100"
"29799"	"4074"	"295,300;"	"0"	"100"
"29801"	"19269"	"85,89;"	"0"	"100"
"29801"	"15909"	"20,25;50,55;"	"1"	"100"
"29802"	"12023"	"27,32;"	"0"	"100"
"29803"	"1395"	"82,88;"	"0"	"100"
"29803"	"26846"	"98,104;"	"1"	"100"
"29803"	"26847"	"65,71;"	"2"	"100"
"29803"	"26848"	"73,79;"	"3"	"100"
"29803"	"26849"	"42,48;"	"4"	"100"
"29803"	"26850"	"131,137;"	"5"	"100"
"29803"	"26851"	"162,168;"	"6"	"100"
"29803"	"15742"	"255,261;"	"7"	"100"
"29803"	"26852"	"203,209;"	"8"	"100"
"29803"	"26853"	"132,138;"	"9"	"100"
"29804"	"19264"	"92,100;"	"0"	"100"
"29805"	"13355"	"79,87;"	"0"	"100"
"29806"	"405"	"135,140;"	"0"	"100"
"29806"	"13372"	"144,149;"	"1"	"100"
"29807"	"10087"	"84,88;"	"0"	"100"
"29808"	"19258"	"51,56;"	"0"	"100"
"29809"	"2174"	"71,74;"	"0"	"100"
"29809"	"1009"	"25,28;"	"1"	"100"
"29810"	"16009"	"43,49;"	"0"	"100"
"29811"	"19255"	"66,71;"	"0"	"100"
"29812"	"18826"	"90,96;"	"0"	"100"
"29813"	"191"	"67,70;"	"0"	"100"
"29813"	"336"	"36,39;"	"1"	"100"
"29813"	"8425"	"86,89;"	"2"	"100"
"29813"	"7297"	"50,53;"	"3"	"100"
"29813"	"2956"	"396,401;"	"4"	"100"
"29813"	"11759"	"24,28;"	"5"	"100"
"29813"	"2865"	"88,92;"	"6"	"100"
"29813"	"3696"	"139,142;"	"7"	"100"
