"id"	"propform"	"tildevalue"	"%"	"actantslist"
"26263"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"26272"	"$1  ~ $2 avec $3"	" allume "	"100"	"($1=X,$2=Y,$3=Z)"
"26273"	"~ utilisée par $1"	""	"100"	"($1=X)"
"26279"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"26280"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26281"	"~ de $1"	""	"100"	"($1=X)"
"26283"	"~ de $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26284"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26285"	"~ (de $1)"	""	"100"	"($1=X)"
"26286"	"$1 ~ $2 avec $3"	"améliore"	"100"	"($1=X,$2=Y,$3=Z)"
"26287"	"$1 ~ $2 à $3"	"amène"	"100"	"($1=X,$2=Y,$3=Z)"
"26288"	"$1 qui est ~"	""	"100"	"($1=X)"
"26289"	"$1 ~"	""	"100"	"($1=X)"
"26290"	"~ de $1"	""	"100"	"($1=X)"
"26291"	"$1, un ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26292"	"~ de $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26293"	"$1 est ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26294"	"~ qui sert à $1"	""	"100"	"($1=X)"
"26295"	"$1 ~ $2"	"amuse"	"100"	"($1=X,$2=Y)"
"26296"	"~"	""	"100"	"()"
"26297"	"! ~ faite par $1 entre $2 et $3 sur la base de $4"	""	"100"	"($1=X,$2=Y,$3=Z,$4=U)"
"26298"	"$1 ~ $2"	"analyse"	"100"	"($1=X,$2=Y)"
"26299"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"26300"	"! ~  dans le lieu $1"	""	"100"	"($1=X)"
"26301"	"$1 ~"	""	"100"	"($1=X)"
"26302"	"~"	""	"100"	"()"
"26303"	"~"	""	"100"	"()"
"26304"	"$1, qui est un ~"	" Anglais "	"100"	"($1=X)"
"26306"	"~ de $1 causée par $2"	""	"100"	"($1=X,$2=Y)"
"26307"	"~"	""	"100"	"()"
"26308"	"$1 ~ $2"	"anime"	"100"	"($1=X,$2=Y)"
"26309"	"~"	""	"100"	"()"
"26312"	"$1 ~ $2"	"annule"	"100"	"($1=X,$2=Y)"
"26313"	"~ de $1 par rapport à $2"	""	"100"	"($1=X,$2=Y)"
"26314"	"$1 qui est ~"	""	"100"	"($1=X)"
"26315"	"$1 qui est ~"	""	"100"	"($1=X)"
"26316"	"! ~ de $1 qui sert à $2 pour capter $3"	""	"60"	"($1=X,$2=Y,$3=Z)"
"26317"	"~ de $1 causée par $2"	""	"100"	"($1=X,$2=Y)"
"26319"	"$1 ~ $2"	"apaise"	"100"	"($1=X,$2=Y)"
"26320"	"$1 ~ $2"	"aperçoit"	"100"	"($1=X,$2=Y)"
"26321"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"26324"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26326"	"$1 ~"	""	"100"	"($1=X)"
"26327"	"~ constitué des $2 utilisé par $1"	""	"100"	"($1=X,$2=Y)"
"26328"	"$1 ~ à $2"	"appartient"	"100"	"($1=X,$2=Y)"
"26331"	"~ de $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26332"	"$1 ~ $2 pour $3"	"applaudit"	"100"	"($1=X,$2=Y,$3=Z)"
"26334"	"$1 ~ $2 à $3"	"apporte"	"100"	"($1=X,$2=Y,$3=Z)"
"26336"	"$1 ~ $2"	"apprend"	"100"	"($1=X,$2=Y)"
"26337"	"$1 ~ de $2"	"approche "	"100"	"($1=X,$2=Y)"
"26338"	"$1 ~ $2"	" approuve "	"100"	"($1=X,$2=Y)"
"26339"	"$1 ~ $2 en $3"	"approvisionne"	"100"	"($1=X,$2=Y,$3=Z)"
"26340"	"$1 ~ sur $2"	""	"100"	"($1=X,$2=Y)"
"26341"	"[$1] ~ $2"	""	"100"	"($1=X,$2=Y)"
"26342"	"~"	""	"100"	"()"
"26343"	"~ de $1"	""	"90"	"($1=X)"
"26345"	"~"	""	"100"	"()"
"26346"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26347"	"~"	""	"100"	"()"
"26349"	"~ utilisée par $1"	""	"100"	"($1=X)"
"26350"	"~ de $2 constituée des $1"	""	"100"	"($1=X,$2=Y)"
"26351"	"$1 ~ $2 avec $3"	"arme"	"100"	"($1=X,$2=Y,$3=Z)"
"26352"	"~ qui sert à $1 pour ranger $2"	""	"100"	"($1=X,$2=Y)"
"26353"	"$1 ~ $2 avec $3"	"arrache"	"100"	"($1=X,$2=Y,$3=Z)"
"26354"	"$1 ~ $2"	" arrange "	"100"	"($1=X,$2=Y)"
"26355"	"$1 ~ $2"	" arrête "	"100"	"($1=X,$2=Y)"
"26356"	"~ de $1"	""	"100"	"($1=X)"
"26357"	"$1 ~à $2"	" arrive "	"100"	"($1=X,$2=Y)"
"26359"	"~ écrit par $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"26360"	"$1 qui est ~"	""	"100"	"($1=X)"
"26361"	"~ de $2 qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"26362"	"$1 ~"	""	"100"	"($1=X)"
"26363"	"~ $2 de $1 "	""	"100"	"($1=X,$2=Y)"
"26364"	"~ qui sert à $1 pour nettoyer  $2 de $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26365"	"$1 ~ $2"	"aspire"	"100"	"($1=Z,$2=Y)"
"26367"	"$1 ~ sur $2"	"s’asseoit"	"100"	"($1=X,$2=Y)"
"26369"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26370"	"$1 est ~ sur $2"	""	"90"	"($1=X,$2=Y)"
